school_name,state_school_id,nces_id,course_id,course_name,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
MIDTOWN PUBLIC CHARTER SCHOOL,MS-2525-2525004,280019001448,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),46,65,10,,,76.2%,17,11
MS SCHOOL FOR THE DEAF,MS-2560-2560002,280118901504,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),42,59,12,,,76.2%,11,12
HOLMES COUNTY CENTRAL HIGH SCHOOL,MS-2611-2611010,280019501488,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,47,61,*,,,76.2%,*,*
EAST CENTRAL HIGH SCHOOL,MS-3000-3000006,280216001045,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),53,62,*,*,,76.2%,10,*
MOSS POINT HIGH SCHOOL,MS-3020-3020004,280300000587,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),0,,,,,30.1%,*,
OCEAN SPRINGS HIGH SCHOOL,MS-3021-3021016,280336000650,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,,,,,30.1%,*,
OCEAN SPRINGS HIGH SCHOOL,MS-3021-3021016,280336000650,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,50,45,*,,,37.6%,11,*
GAUTIER HIGH SCHOOL,MS-3022-3022042,280348000935,000283,EXPLORING COMPUTER SCIENCE (CTE),85,61,*,,,37.6%,14,*
GAUTIER HIGH SCHOOL,MS-3022-3022042,280348000935,902162,DC - VISUAL BASIC COMPUTER PROGRAMMING I,75,56,*,*,,37.6%,*,*
PASCAGOULA HIGH SCHOOL,MS-3022-3022052,280348000678,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,21.0%,*,
JDC HIGH SCHOOL,MS-3300-3300008,280225000429,000283,EXPLORING COMPUTER SCIENCE (CTE),*,,*,,,21.0%,*,
NORTHEAST JONES HIGH SCHOOL,MS-3400-3400024,280228000443,000283,EXPLORING COMPUTER SCIENCE (CTE),0,*,,,,21.0%,,
SOUTH JONES HIGH SCHOOL,MS-3400-3400036,280228000450,000283,EXPLORING COMPUTER SCIENCE (CTE),0,*,,,,21.0%,,
WEST JONES HIGH SCHOOL,MS-3400-3400052,280228000451,000283,EXPLORING COMPUTER SCIENCE (CTE),73,11,*,,,25.5%,11,*
KEMPER COUNTY HIGH SCHOOL,MS-3500-3500016,280231001116,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),68,10,*,,*,25.5%,*,*
LAFAYETTE HIGH SCHOOL,MS-3600-3600008,280237000463,000283,EXPLORING COMPUTER SCIENCE (CTE),0,*,,,,36.6%,,
LAFAYETTE HIGH SCHOOL,MS-3600-3600008,280237000463,902110,DC - PROGRAMMING IN PYTHON IST 1724,0,*,,,,36.6%,,
LAFAYETTE MIDDLE SCHOOL,MS-3600-3600012,280237000967,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),57,48,*,,,48.9%,13,*
OXFORD HIGH SCHOOL,MS-3620-3620012,280345000663,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,70,49,*,,,48.9%,17,*
OAK GROVE HIGH SCHOOL,MS-3700-3700010,280240001171,000283,EXPLORING COMPUTER SCIENCE (CTE),0,*,,,,72.6%,,
OAK GROVE HIGH SCHOOL,MS-3700-3700010,280240001171,000283,EXPLORING COMPUTER SCIENCE (CTE),50,37,*,,*,75.1%,10,*
PURVIS HIGH SCHOOL,MS-3700-3700014,280240001172,000283,EXPLORING COMPUTER SCIENCE (CTE),52,31,*,,,75.1%,*,*
SUMRALL  HIGH SCHOOL,MS-3700-3700018,280240001173,000283,EXPLORING COMPUTER SCIENCE (CTE),28,33,*,,,72.1%,24,*
SUMRALL  HIGH SCHOOL,MS-3700-3700018,280240001173,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,*,
LUMBERTON HIGH SCHOOL,MS-3700-3700026,280240001484,000283,EXPLORING COMPUTER SCIENCE (CTE),24,13,*,,,62.0%,*,*
CLARKDALE HIGH SCHOOL,MS-3800-3800005,280243001348,000283,EXPLORING COMPUTER SCIENCE (CTE),57,31,12,,,62.0%,25,10
NORTHEAST LAUDERDALE HIGH SCHOOL,MS-3800-3800008,280243000469,000283,EXPLORING COMPUTER SCIENCE (CTE),28,10,*,,,62.0%,*,*
SOUTHEAST LAUDERDALE HIGH SCHOOL,MS-3800-3800012,280243000470,000283,EXPLORING COMPUTER SCIENCE (CTE),62,22,*,,,62.0%,19,*
SOUTHEAST LAUDERDALE HIGH SCHOOL,MS-3800-3800012,280243000470,110139,VISUAL BASIC PROGRAMMING LANUAGE (ACADEMIC),*,*,,,,53.7%,*,
WEST LAUDERDALE HIGH SCHOOL,MS-3800-3800020,280243001344,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,76.2%,,
WEST LAUDERDALE HIGH SCHOOL,MS-3800-3800020,280243001344,110141,AP COMPUTER SCIENCE A,*,*,,,,57.1%,*,
MERIDIAN HIGH SCHOOL,MS-3820-3820036,280291000567,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),55,*,*,*,,66.5%,*,*
LEAKE CENTRAL HIGH SCHOOL,MS-4000-4000004,280252000487,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),51,27,,,,82.4%,14,
MOOREVILLE HIGH SCHOOL,MS-4100-4100008,280255000494,000283,EXPLORING COMPUTER SCIENCE (CTE),23,14,*,,,82.4%,12,
SALTILLO HIGH SCHOOL,MS-4100-4100024,280255000496,000283,EXPLORING COMPUTER SCIENCE (CTE),44,17,,,,82.4%,11,
SALTILLO HIGH SCHOOL,MS-4100-4100024,280255000496,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,13,*,,,,>=95%,*,
SHANNON HIGH SCHOOL,MS-4100-4100028,280255000497,000283,EXPLORING COMPUTER SCIENCE (CTE),10,12,,,,>=95%,*,
NETTLETON HIGH SCHOOL,MS-4111-4111004,280309000613,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,,,,>=95%,*,
BOGUE CHITTO SCHOOL,MS-4300-4300004,280264000512,000283,EXPLORING COMPUTER SCIENCE (CTE),18,,,,,71.4%,*,
ENTERPRISE SCHOOL,MS-4300-4300008,280264000513,000283,EXPLORING COMPUTER SCIENCE (CTE),17,*,,,,71.4%,*,
LOYD STAR SCHOOL,MS-4300-4300016,280264000515,000283,EXPLORING COMPUTER SCIENCE (CTE),19,,,,,71.4%,*,
WEST LINCOLN SCHOOL,MS-4300-4300020,280264000516,000283,EXPLORING COMPUTER SCIENCE (CTE),49,19,,,,67.2%,*,
GOLDEN TRIANGLE EARLY COLLEGE,MS-4400-4400005,280273001460,902158,DC - PROGRAMMING I WITH C++,38,42,*,,,70.5%,*,
COLUMBUS HIGH SCHOOL,MS-4420-4420016,280120000154,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),44,41,*,,,70.5%,*,
RIDGELAND HIGH SCHOOL,MS-4500-4500046,280279001257,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,62,60,,,,77.7%,10,
