student_id,unit_name
104867290,coursec-2023
104867292,coursec-2023
109760301,coursec-2023
109760306,coursec-2023
110138787,coursec-2023
104867285,coursec-2023
109760311,coursec-2023
109760302,coursec-2023
109760309,coursec-2023
109760305,coursec-2023
109760353,coursec-2023
110138746,coursec-2023
104867303,coursec-2023
109760304,coursec-2023
109760308,coursec-2023
104867209,coursec-2023
111241313,coursec-2023
109760380,coursec-2023
109760307,coursec-2023
104867222,coursec-2023
109760303,coursec-2023
109760312,coursec-2023
104867191,coursec-2023
104867195,coursec-2023
104912949,coursec-2023
104912952,coursec-2023
95783880,coursec-2023
104867184,coursec-2023
98078837,coursec-2023
109705382,coursec-2023
104867199,coursec-2023
98078833,coursec-2023
109705423,coursec-2023
95783877,coursec-2023
95783878,coursec-2023
95783876,coursec-2023
98078823,coursec-2023
114815824,coursec-2023
109705457,coursec-2023
109705541,coursec-2023
109705538,coursec-2023
98078832,coursec-2023
104867182,coursec-2023
95783884,coursec-2023
104867193,coursec-2023
110057533,coursec-2023
104867181,coursec-2023
104867180,coursec-2023
104867194,coursec-2023
110057532,coursec-2023
104867279,coursec-2023
104912961,coursec-2023
104912959,coursec-2023
104867197,coursec-2023
104867275,coursec-2023
104867270,coursec-2023
98078824,coursec-2023
104867269,coursec-2023
115159217,coursec-2023
95783871,coursec-2023
104912960,coursec-2023
104867196,coursec-2023
109712205,coursec-2023
98078828,coursec-2023
104912956,coursec-2023
104867268,coursec-2023
95783890,coursec-2023
98078829,coursec-2023
109712185,coursec-2023
104867273,coursec-2023
95783886,coursec-2023
104867187,coursec-2023
95783874,coursec-2023
109712186,coursec-2023
95783875,coursec-2023
95783889,coursec-2023
109712191,coursec-2023
104912963,coursec-2023
98078834,coursec-2023
104867278,coursec-2023
98078835,coursec-2023
106925808,coursec-2023
104867198,coursec-2023
107932056,coursec-2023
106925810,coursec-2023
95783872,coursec-2023
95783883,coursec-2023
106925813,coursec-2023
106925809,coursec-2023
98078836,coursec-2023
106925811,coursec-2023
104867192,coursec-2023
106925812,coursec-2023
106925807,coursec-2023
104912953,coursec-2023
83259220,coursec-2023
98078825,coursec-2023
104867183,coursec-2023
104912951,coursec-2023
98078840,coursec-2023
104867188,coursec-2023
95783891,coursec-2023
98078838,coursec-2023
104912950,coursec-2023
109710951,coursec-2023
109710929,coursec-2023
109710920,coursec-2023
104912957,coursec-2023
109710945,coursec-2023
109710973,coursec-2023
98078827,coursec-2023
104867190,coursec-2023
104912954,coursec-2023
99614620,coursec-2023
109708130,coursec-2023
109708118,coursec-2023
109708116,coursec-2023
95783887,coursec-2023
109708120,coursec-2023
104374291,coursec-2023
98078830,coursec-2023
109708129,coursec-2023
104867185,coursec-2023
95783885,coursec-2023
95783879,coursec-2023
104867189,coursec-2023
109708121,coursec-2023
109708127,coursec-2023
104867186,coursec-2023
109708122,coursec-2023
95783873,coursec-2023
104867276,coursec-2023
114817589,coursec-2023
104912955,coursec-2023
