nces_id,ai_code,name,city,state,zip,num_teachers,num_students
120087002562,101778,BLOOMINGDALE HIGH SCHOOL,VALRICO,FL,33596,1,138
120144000865,101248,CYPRESS CREEK HIGH,ORLANDO,FL,32824,1,28
120144001363,101310,WILLIAM R BOONE HIGH,ORLANDO,FL,32806,1,64
120144001364,101290,EDGEWATER HIGH,ORLANDO,FL,32804,2,91
120144001447,101902,WINTER PARK HIGH,WINTER PARK,FL,32792,1,49
120144002779,101309,UNIVERSITY HIGH,ORLANDO,FL,32817,2,145
120144003745,101641,TIMBER CREEK HIGH,ORLANDO,FL,32828,1,189
120144005638,101979,OCOEE HIGH,OCOEE,FL,34761,1,60
120144007614,102196,EAST RIVER HIGH,ORLANDO,FL,32833,1,18
120150001477,100825,JUPITER HIGH SCHOOL,JUPITER,FL,33458,1,25
120150001548,100913,JOHN I. LEONARD HIGH SCHOOL,GREENACRES,FL,33463,1,100
120150001549,101341,PALM BEACH GARDENS HIGH SCHOOL,PALM BEACH GARDENS,FL,33410,1,75
120150002383,100136,SPANISH RIVER COMMUNITY HIGH SCHOOL,BOCA RATON,FL,33496,1,129
120150002627,101820,PALM BEACH LAKES HIGH SCHOOL,WEST PALM BEACH,FL,33407,1,22
120150003755,100119,BOYNTON BEACH COMMUNITY HIGH,BOYNTON BEACH,FL,33426,1,16
120183001948,100155,BRANFORD HIGH SCHOOL,BRANFORD,FL,32008,1,21
130072000305,110550,CALHOUN HIGH SCHOOL,CALHOUN,GA,30701,1,26
130084000324,113130,VILLA RICA HIGH SCHOOL,VILLA RICA,GA,30180,1,41
130084000330,110415,BOWDON HIGH SCHOOL,BOWDON,GA,30108,1,31
130084002097,112955,TEMPLE HIGH SCHOOL,TEMPLE,GA,30179,1,17
130084003582,112215,MT. ZION HIGH SCHOOL,CARROLLTON,GA,30117,1,32
130111000425,113306,ETOWAH HIGH SCHOOL,WOODSTOCK,GA,30189,1,12
130129001994,111998,POPE HIGH SCHOOL,MARIETTA,GA,30062,1,42
130174000644,112835,STONE MOUNTAIN HIGH SCHOOL,STONE MOUNTAIN,GA,30083,1,8
130177003340,111160,DODGE COUNTY HIGH SCHOOL,EASTMAN,GA,31023,1,5
130186001976,111104,ALEXANDER HIGH SCHOOL,DOUGLASVILLE,GA,30135,1,5
130186002317,111107,CHAPEL HILL HIGH SCHOOL,DOUGLASVILLE,GA,30135,1,32
