name_s,nces_id_s
Amazon,120087003185
Amazon,120150004121
Amazon,120114001201
Amazon,120144001454
Amazon,130228001024
Amazon,130012003980
Amazon,130012004174
Amazon,130438004069
Amazon,130438001562
Amazon,130240001068
Amazon,130084003582
Amazon,130174000708
Amazon,130144000622
Amazon,130294003421
Amazon,130441001583
Amazon,130002604141
Amazon,130135000581
Amazon,130174000690
Amazon,130228002120
Amazon,130249003570
Amazon,130282003407
Amazon,130255001129
Amazon,130255003916
Amazon,130255001905
Amazon,130333002408
Amazon,130282002130
Amazon,130297003423
Amazon,130138000591
Amazon,130444000028
Amazon,130537002093
Amazon,130255001135
Amazon,130255001937
Amazon,130255003998
Amazon,130255000959
Amazon,130084002097
Amazon,130357002183
Amazon,130213002167
Amazon,150003000034
Amazon,150003000193
Amazon,150003000043
Amazon,150003000141
Amazon,150003000161
Amazon,190807000402
Amazon,190822000435
Amazon,192532001447
Amazon,190897000528
Amazon,160225001041
Amazon,160333000568
Amazon,160348000530
Amazon,171394001737
Amazon,170468000143
Amazon,171503001832
Amazon,173894003952
Amazon,170855000487
Amazon,170942000545
Amazon,170993000920
Amazon,170993006250
Amazon,170993000942
Amazon,170993005061
Amazon,170993006282
Amazon,170993000889
Amazon,170993001002
Amazon,170993006072
Amazon,170993005793
Amazon,170993004715
Amazon,170993001980
Amazon,170993006138
Amazon,170993002618
Amazon,170993002031
Amazon,170993005795
Amazon,170993000941
Amazon,171920002206
Amazon,173894003953
Amazon,172757002919
Amazon,172274002522
Amazon,170840000458
Amazon,173123003278
Amazon,173174006027
Amazon,173177003342
Amazon,170417000117
Amazon,180783001334
Amazon,180222000265
Amazon,180240000269
Amazon,180432000746
Amazon,180008202466
Amazon,180244000279
Amazon,180627001103
Amazon,180498000914
Amazon,180981001600
Amazon,181092001785
Amazon,181122001811
Amazon,180177000242
Amazon,201299001694
Amazon,200546000361
Amazon,200768001273
Amazon,210062000108
Amazon,210024001969
Amazon,210441001096
Amazon,210258000555
Amazon,210144000291
Amazon,210225000467
