name_s,url_s,kind_s,codeorg_b,csedweek_b,hourofcode_b,description_t
Anita Borg Institute,http://anitaborg.org/,advocacy,TRUE,FALSE,FALSE,
Arizona Technology Council,https://www.aztechcouncil.org/,advocacy,TRUE,FALSE,FALSE,
Association for Computing Machinery,https://www.acm.org/,advocacy,TRUE,FALSE,FALSE,
AVID,https://www.avid.org/,pl-partner,TRUE,FALSE,FALSE,
BATEC,https://www.batec.org,advocacy,TRUE,FALSE,FALSE,
Battelle,https://www.battelle.org/,advocacy,TRUE,FALSE,FALSE,
BootUP,http://bootuppd.org,advocacy,TRUE,FALSE,FALSE,
California STEM Network,https://www.childrennow.org/issue-areas/stem-network/,advocacy,TRUE,FALSE,FALSE,
CEASOM Regional Partnership,http://ceasom.org/,advocacy,TRUE,FALSE,FALSE,
Charles County Public Schools,http://www.ccboe.com/,advocacy,TRUE,FALSE,FALSE,
Chicago Suburban CSTA,http://www.bit.ly/chisuburbanCSTA,advocacy,TRUE,FALSE,FALSE,
CodeHS,https://codehs.com,advocacy,TRUE,FALSE,FALSE,
CodeVA,http://www.codevirginia.org/,advocacy,TRUE,FALSE,FALSE,
Colorado Succeeds,http://www.coloradosucceeds.org/,advocacy,TRUE,FALSE,FALSE,
Colorado Technology Association,http://www.coloradotechnology.org/,advocacy,TRUE,FALSE,FALSE,
Common Sense Media,https://www.commonsensemedia.org/kids-action,advocacy,TRUE,FALSE,FALSE,
CompTIA,http://www.comptia.org,advocacy,TRUE,FALSE,FALSE,
Computing Research Association,http://cra.org/,advocacy,TRUE,FALSE,FALSE,
Connecticut Technology Council,http://ct.org/,advocacy,TRUE,FALSE,FALSE,
Contra Costa County Office of Education,http://www.cccoe.k12.ca.us/index.html,advocacy,TRUE,FALSE,FALSE,
CS4IL,http://www.cs4il.org,advocacy,TRUE,FALSE,FALSE,
CS4RI,http://www.cs4ri.org,advocacy,TRUE,FALSE,FALSE,
CS4TX,http://cs4tx.org/,advocacy,TRUE,FALSE,FALSE,
CSTA,http://csta.acm.org/,advocacy,TRUE,FALSE,FALSE,
CSTA New Jersey,http://cstanj.org/,advocacy,TRUE,FALSE,FALSE,
CSTA-New Mexico,https://sites.google.com/a/csta-hq.org/new-mexico/,advocacy,TRUE,FALSE,FALSE,
Cyber Innovation Center,https://cyberinnovationcenter.org/,advocacy,TRUE,FALSE,FALSE,
District of Columbia Public Schools,http://dcps.dc.gov,advocacy,TRUE,FALSE,FALSE,
Educational Service District 105,https://www.esd105.org/domain/175,advocacy,TRUE,FALSE,FALSE,
Elementary Institute of Science,https://eisca.org/,advocacy,TRUE,FALSE,FALSE,
ExcelinEd,https://excelined.org,advocacy,TRUE,FALSE,FALSE,
Expanding Computing Education Pathways,http://expandingcomputing.cs.umass.edu/,advocacy,TRUE,FALSE,FALSE,
Facebook Diversity,https://www.facebook.com/facebookdiversity,advocacy,TRUE,FALSE,FALSE,
The Friday Institute for Educational Innovation,http://www.fi.ncsu.edu,advocacy,TRUE,FALSE,FALSE,
Getting Smart,https://www.GettingSmart.com,advocacy,TRUE,FALSE,FALSE,
Google,https://www.google.com/edu/,advocacy,TRUE,FALSE,FALSE,
Hawaii Kids CAN,https://hawaiikidscan.org/,advocacy,TRUE,FALSE,FALSE,
Idaho STEM Action Center,http://stem.idaho.gov,advocacy,TRUE,FALSE,FALSE,
Illinois Technology Association,https://www.illinoistech.org/,advocacy,TRUE,FALSE,FALSE,
KC Tech Council,http://www.kctechcouncil.com/,advocacy,TRUE,FALSE,FALSE,
LEGO Education,http://www.legoeducation.com,advocacy,TRUE,FALSE,FALSE,
LULAC Illinois Education Council 5238,http://www.lulac.org,advocacy,TRUE,FALSE,FALSE,
Maryland Center for Computing Education,http://csmatters.org/,advocacy,TRUE,FALSE,FALSE,
MassCAN,http://masscan.net/,advocacy,TRUE,FALSE,FALSE,
Microsoft,http://www.microsoft.com/about/corporatecitizenship/en-us/working-responsibly/principled-business-practices/integrity-governance/political-engagement/,advocacy,TRUE,FALSE,FALSE,
Missouri Mathematics and Science Coalition,https://mochamber.com/workforce/missouri-math-and-science-coalition/,advocacy,TRUE,FALSE,FALSE,
Nashville Technology Council,https://technologycouncil.com,advocacy,TRUE,FALSE,FALSE,
National Education Association,http://www.nea.org,advocacy,TRUE,FALSE,FALSE,
National Math and Science Initiative,https://www.nms.org,advocacy,TRUE,FALSE,FALSE,
NCCSE,http://www.css.edu/csed,advocacy,TRUE,FALSE,FALSE,
NCWIT,https://www.ncwit.org,advocacy,TRUE,FALSE,FALSE,
New Mexico Technology Council,https://nmtechcouncil.org,advocacy,TRUE,FALSE,FALSE,
Nextech,http://nextech.org,advocacy,TRUE,FALSE,FALSE,
NH High Tech Council,https://nhhtc.org,advocacy,TRUE,FALSE,FALSE,
NOLA CODE,http://nolacode.org,advocacy,TRUE,FALSE,FALSE,
Orlando Science Center,http://www.osc.org,advocacy,TRUE,FALSE,FALSE,
Ready CT,https://readyct.org/,advocacy,TRUE,FALSE,FALSE,
Rural Technology Fund,http://www.ruraltechfund.org,advocacy,TRUE,FALSE,FALSE,
SAS,https://www.sas.com,advocacy,TRUE,FALSE,FALSE,
Science Foundation Arizona,http://www.sfaz.org,advocacy,TRUE,FALSE,FALSE,
The Southern Regional Institute and Educational Technology Training Center,http://ettc.net/,advocacy,TRUE,FALSE,FALSE,
STEMx,http://www.stemx.us,advocacy,TRUE,FALSE,FALSE,
Teach for America,https://www.teachforamerica.org/about-us/our-initiatives/stem-initiative,advocacy,TRUE,FALSE,FALSE,
TechNet,http://www.technet.org,advocacy,TRUE,FALSE,FALSE,
Technology Association of Louisville Kentucky,http://www.talklou.com/wp,advocacy,TRUE,FALSE,FALSE,
Technology Association of Oregon,http://www.techoregon.org,advocacy,TRUE,FALSE,FALSE,
The College Board,https://apstudent.collegeboard.org/apcourse/ap-computer-science-a,advocacy,TRUE,FALSE,FALSE,
United Data Technologies,https://udtonline.com/portfolio-item/education,advocacy,TRUE,FALSE,FALSE,
Utah Tech Council,http://utahtech.org,advocacy,TRUE,FALSE,FALSE,
Washington STEM,http://www.washingtonstem.org,advocacy,TRUE,FALSE,FALSE,
West Virginia University Center for Excellence in STEM Education,http://stemcenter.wvu.edu,advocacy,TRUE,FALSE,FALSE,
IEEE,https://www.ieee.org/index.html,advocacylist,TRUE,FALSE,FALSE,
Philadelphia Alliance for Capital and Technologies,http://philadelphiapact.com,advocacylist,TRUE,FALSE,FALSE,
Stand for Children,http://stand.org,advocacylist,TRUE,FALSE,FALSE,
Utah STEM Action Center,https://stem.utah.gov,advocacylist,TRUE,FALSE,FALSE,
AnitaB.org,https://anitab.org/,founder,TRUE,TRUE,TRUE,
Association for Computing Machinery,https://www.acm.org/,founder,FALSE,TRUE,TRUE,
College Board,http://www.collegeboard.org/,founder,FALSE,TRUE,TRUE,
Computer Science Teachers Association,https://www.csteachers.org/,founder,FALSE,TRUE,TRUE,
Computing Research Association,http://www.cra.org/,founder,FALSE,TRUE,TRUE,
Google,http://www.google.com,founder,FALSE,TRUE,FALSE,
IEEE Computer Society,https://www.computer.org,founder,FALSE,TRUE,TRUE,
Microsoft,http://www.microsoft.com,founder,FALSE,TRUE,TRUE,
National Center for Women in Information and Technology,https://www.ncwit.org/,founder,FALSE,TRUE,FALSE,
National Council of Teachers of Mathematics,https://www.nctm.org/,founder,FALSE,TRUE,TRUE,
National Math + Science Initiative,http://www.nms.org/,founder,FALSE,TRUE,FALSE,
National Science Teachers Association,http://www.nsta.org/,founder,FALSE,TRUE,TRUE,
SAS,http://www.sas.com/,founder,FALSE,TRUE,TRUE,
Amazon Web Services,http://aws.amazon.com/,infrastructure,TRUE,FALSE,TRUE,
American Airlines,https://www.aa.com/homePage.do,infrastructure,TRUE,FALSE,TRUE,
AnswerDash,http://www.answerdash.com/,infrastructure,TRUE,FALSE,TRUE,
Applitools,http://applitools.com/,infrastructure,TRUE,FALSE,TRUE,
