school_name,state_school_id,nces_id,course_id,course_name
MADISON HIGH SCHOOL,MI-46090-02316,262232005947,unspecified,unspecified
ADRIAN HIGH SCHOOL,MI-46010-00027,260195003927,unspecified,unspecified
ALBA SCHOOL,MI-05010-06938,260204003949,unspecified,unspecified
ALLEN PARK COMMUNITY SCHOOL,MI-82020-08422,260252001018,unspecified,unspecified
ALMA SENIOR HIGH SCHOOL,MI-29010-05774,260264003980,unspecified,unspecified
MACOMB ACADEMY OF ARTS SCIENCES,MI-50050-08736,260324001143,unspecified,unspecified
BATTLE CREEK MATHSCI CENTER,MI-13020-07572,260000500477,unspecified,unspecified
BLISSFIELD HIGH SCHOOL,MI-46040-00353,260600004229,unspecified,unspecified
BURR OAK HIGH SCHOOL,MI-75020-00459,260741004327,unspecified,unspecified
BYRON AREA HIGH SCHOOL,MI-78020-00472,260753004329,unspecified,unspecified
BYRON CENTER HIGH SCHOOL,MI-41040-00475,260756004332,unspecified,unspecified
CALHOUN AREA CAREER CENTER,MI-13000-09756,268020007819,unspecified,unspecified
CANTON PREPARATORY HIGH SCHOOL,MI-82711-02325,260108008635,unspecified,unspecified
CARMAN PARK-BAKER CAREER ACADEMY,MI-25080-02790,260789008695,unspecified,unspecified
CENTER LINE HIGH SCHOOL,MI-50010-00580,260858004404,unspecified,unspecified
CLARE PIONEER HIGH SCHOOL,MI-18010-07754,260975000123,unspecified,unspecified
COMSTOCK HIGH SCHOOL,MI-39030-00765,261059004525,unspecified,unspecified
COMSTOCK COMPASS HIGH SCHOOL,MI-39030-05038,261059000157,unspecified,unspecified
GRAYLING HIGH SCHOOL,MI-20015-01482,261103004561,unspecified,unspecified
DETROIT INTERNATIONAL ACADEMY FOR YOUNG WOMEN,MI-82015-00039,260110307972,unspecified,unspecified
CODY ACADEMY OF PUBLIC LEADERSHIP,MI-82015-00026,260110308050,unspecified,unspecified
KING HIGH SCHOOL,MI-82015-01043,260110304703,unspecified,unspecified
FORD HIGH SCHOOL,MI-82015-01634,260110304734,unspecified,unspecified
DEWITT HIGH SCHOOL,MI-19010-00912,261155004582,unspecified,unspecified
DICKINSONIRON TECH ED CENTER,MI-22000-06545,268036000498,unspecified,unspecified
