Name,Breed Group,Bred For,Min Life Span,Max Life Span,Min Height,Max Height,Min Weight,Max Weight,Temperament,Image URL
Miniature Schnauzer,Terrier,Ratting,12,14,12,14,11,20,"Fearless, Friendly, Spirited, Alert, Obedient, Intelligent",https://cdn2.thedogapi.com/images/SJIUQl9NX_1280.jpg
Newfoundland,Working,"All purpose water dog, fishing aid",8,10,26,28,100,150,"Sweet-Tempered, Gentle, Trainable",https://cdn2.thedogapi.com/images/Sk4DXl54m_1280.jpg
Norfolk Terrier,Terrier,"Ratting, fox bolting",12,15,9,10,11,12,"Self-confidence, Fearless, Spirited, Companionable, Happy, Lovable",https://cdn2.thedogapi.com/images/B1ADQg94X_1280.jpg
Papillon,Toy,Lapdog,13,17,8,11,3,12,"Hardy, Friendly, Energetic, Alert, Intelligent, Happy",https://cdn2.thedogapi.com/images/SkJj7e547_1280.jpg
Pembroke Welsh Corgi,Herding,Driving stock to market in northern Wales,12,14,10,12,25,30,"Tenacious, Outgoing, Friendly, Bold, Playful, Protective",https://cdn2.thedogapi.com/images/rJ6iQeqEm_1280.jpg
Pharaoh Hound,Hound,Hunting rabbits,12,14,21,25,40,60,"Affectionate, Sociable, Playful, Intelligent, Active, Trainable",https://cdn2.thedogapi.com/images/Byz6mgqEQ_1280.jpg
Plott,Hound,Hunting big-game like Boar.,12,14,20,25,40,60,"Bold, Alert, Loyal, Intelligent",https://cdn2.thedogapi.com/images/B1i67l5VQ_1280.jpg
Pug,Toy,Lapdog,12,14,10,12,14,18,"Docile, Clever, Charming, Stubborn, Sociable, Playful, Quiet, Attentive",https://cdn2.thedogapi.com/images/HyJvcl9N7_1280.jpg
Redbone Coonhound,Hound,"Hunting raccoon, deer, bear, and cougar.",10,12,21,27,45,80,"Affectionate, Energetic, Independent, Companionable, Familial, Unflappable",https://cdn2.thedogapi.com/images/HJMzEl5N7_1280.jpg
Rhodesian Ridgeback,Hound,"Big game hunting, guarding",10,12,24,27,75,80,"Strong Willed, Mischievous, Loyal, Dignified, Sensitive, Intelligent",https://cdn2.thedogapi.com/images/By9zNgqE7_1280.jpg
Rottweiler,Working,"Cattle drover, guardian, draft",8,10,22,27,75,110,"Steady, Good-natured, Fearless, Devoted, Alert, Obedient, Confident, Self-assured, Calm, Courageous",https://cdn2.thedogapi.com/images/r1xXEgcNX_1280.jpg
Samoyed,Working,"Herding reindeer, guardian, draft",12,14,19,23.5,50,60,"Stubborn, Friendly, Sociable, Lively, Alert, Playful",https://cdn2.thedogapi.com/images/S1T8Ee9Nm_1280.jpg
Schipperke,Non-Sporting,Barge watchdog,13,15,10,13,10,16,"Fearless, Agile, Curious, Independent, Confident, Faithful",https://cdn2.thedogapi.com/images/SyBvVgc47_1280.jpg
Scottish Deerhound,Hound,Coursing deer,8,10,28,32,70,130,"Docile, Friendly, Dignified, Gentle",https://cdn2.thedogapi.com/images/SkNjqx9NQ_1280.jpg
Shih Tzu,Toy,Lapdog,10,18,8,11,9,16,"Clever, Spunky, Outgoing, Friendly, Affectionate, Lively, Alert, Loyal, Independent, Playful, Gentle, Intelligent, Happy, Active, Courageous",https://cdn2.thedogapi.com/images/BkrJjgcV7_1280.jpg
Silky Terrier,Toy,"Small vermin hunting, companionship",12,15,9,10,8,10,"Friendly, Responsive, Inquisitive, Alert, Quick, Joyful",https://cdn2.thedogapi.com/images/ByzGsl5Nm_1280.jpg
Soft Coated Wheaten Terrier,Terrier,"Vermin hunting, guarding, all-around farm helper",12,15,16,18,30,40,"Affectionate, Spirited, Energetic, Playful, Intelligent, Faithful",https://cdn2.thedogapi.com/images/HJHmix5NQ_1280.jpg
Spanish Water Dog,Sporting,Herding flocks of sheep and goats from one pasture to another,12,15,16,20,30,50,"Trainable, Diligent, Affectionate, Loyal, Athletic, Intelligent",https://cdn2.thedogapi.com/images/HJf4jl9VX_1280.jpg
Vizsla,Sporting,Pointing and trailing,10,14,21,24,50,65,"Affectionate, Energetic, Loyal, Gentle, Quiet",https://cdn2.thedogapi.com/images/r1o0jx9Em_1280.jpg
Weimaraner,Sporting,Large game trailing and versatile gundog,12,15,23,27,55,90,"Steady, Aloof, Stubborn, Energetic, Alert, Intelligent, Powerful, Fast",https://cdn2.thedogapi.com/images/SyU12l9V7_1280.jpg
Welsh Springer Spaniel,Sporting,Flushing and retrieving birds,12,15,17,19,35,55,"Stubborn, Friendly, Affectionate, Loyal, Playful, Active",https://cdn2.thedogapi.com/images/BJ1gnx5Vm_1280.jpg
West Highland White Terrier,Terrier,"Fox, badger, vermin hunting",15,20,10,11,15,22,"Hardy, Friendly, Alert, Independent, Gay, Active, Courageous",https://cdn2.thedogapi.com/images/Bkdx2g5Em_1280.jpg
Whippet,Hound,"Coursing, racing",12,15,18,22,25,35,"Friendly, Affectionate, Lively, Gentle, Intelligent, Quiet",https://cdn2.thedogapi.com/images/Hyv-ne94m_1280.jpg
Wirehaired Pointing Griffon,Sporting,"Gundog, ""swamp-tromping"", Flushing, pointing, and retrieving water fowl & game birds",12,14,20,24,45,70,"Loyal, Gentle, Vigilant, Trainable, Proud",https://cdn2.thedogapi.com/images/Bkam2l9Vm_1280.jpg
Yorkshire Terrier,Toy,Small vermin hunting,12,16,8,9,4,7,"Bold, Independent, Confident, Intelligent, Courageous",https://cdn2.thedogapi.com/images/B12BnxcVQ_1280.jpg
