State,Code,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution URL,State Flag URL,State Seal URL,Map URL,Landscape Background URL,Skyline Background URL,Twitter,Facebook,Area (Square Miles),Median Household Income (USD),Percent of Population in Poverty,Violent Crimes per Thousand People 2018,Percent Adult with Bachelors Degree
North Carolina,NC,Old North State / Tar Heel State,http://www.nc.gov,1789,12,Raleigh,http://www.raleigh-nc.org,9848060,10,http://statelibrary.dcr.state.nc.us/nc/stgovt/preconst.htm,https://cdn.civil.services/us-states/flags/north-carolina-large.png,https://cdn.civil.services/us-states/seals/north-carolina-large.png,https://cdn.civil.services/us-states/maps/north-carolina-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/north-carolina.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/north-carolina.jpg,https://twitter.com/NCdotGov,,53819.16,50320,14.1,5.411298211,29.9
North Dakota,ND,Peace Garden State / Flickertail State / Roughrider State,http://www.nd.gov,1889,39,Bismarck,http://www.bismarck.org,723393,48,http://www.legis.nd.gov/information/statutes/const-laws.html,https://cdn.civil.services/us-states/flags/north-dakota-large.png,https://cdn.civil.services/us-states/seals/north-dakota-large.png,https://cdn.civil.services/us-states/maps/north-dakota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/north-dakota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/north-dakota.jpg,https://twitter.com/ExperienceND,https://www.facebook.com/ExperienceND,70698.32,61285,10.9,3.504977354,28.9
Ohio,OH,Buckeye State,https://ohio.gov,1803,17,Columbus,http://ci.columbus.oh.us,11570808,7,http://www.legislature.state.oh.us/constitution.cfm,https://cdn.civil.services/us-states/flags/ohio-large.png,https://cdn.civil.services/us-states/seals/ohio-large.png,https://cdn.civil.services/us-states/maps/ohio-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/ohio.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/ohio.jpg,https://twitter.com/ohgov,,44825.58,52407,12.8,2.799363734,27.2
Oklahoma,OK,Sooner State,https://www.ok.gov,1907,46,Oklahoma City,http://www.okc.gov,3850568,28,http://oklegal.onenet.net/okcon,https://cdn.civil.services/us-states/flags/oklahoma-large.png,https://cdn.civil.services/us-states/seals/oklahoma-large.png,https://cdn.civil.services/us-states/maps/oklahoma-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oklahoma.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oklahoma.jpg,https://twitter.com/okgov,https://www.facebook.com/okgov,69898.87,49767,14.0,4.661331919,24.8
Oregon,OR,Beaver State,http://www.oregon.gov,1859,33,Salem,http://www.cityofsalem.net/Pages/default.aspx,3930065,27,http://bluebook.state.or.us/state/constitution/constitution.htm,https://cdn.civil.services/us-states/flags/oregon-large.png,https://cdn.civil.services/us-states/seals/oregon-large.png,https://cdn.civil.services/us-states/maps/oregon-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/oregon.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/oregon.jpg,,,98378.54,56119,10.6,2.855361367,32.3
Pennsylvania,PA,Keystone State,http://www.pa.gov,1787,2,Harrisburg,http://harrisburgpa.gov,12773801,6,http://sites.state.pa.us/PA_Constitution.html,https://cdn.civil.services/us-states/flags/pennsylvania-large.png,https://cdn.civil.services/us-states/seals/pennsylvania-large.png,https://cdn.civil.services/us-states/maps/pennsylvania-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/pennsylvania.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/pennsylvania.jpg,https://www.facebook.com/visitPA,https://twitter.com/visitPA,46054.34,56951,11.5,3.060187116,30.1
Rhode Island,RI,The Ocean State,https://www.ri.gov,1790,13,Providence,http://www.providenceri.com,1051511,43,http://webserver.rilin.state.ri.us/RiConstitution,https://cdn.civil.services/us-states/flags/rhode-island-large.png,https://cdn.civil.services/us-states/seals/rhode-island-large.png,https://cdn.civil.services/us-states/maps/rhode-island-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/rhode-island.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/rhode-island.jpg,https://twitter.com/rigov,https://www.facebook.com/RIgov-Rhode-Island-Government-Online-24056655991,1544.89,61043,10.3,2.191399914,33.0
South Carolina,SC,Palmetto State,http://www.sc.gov,1788,8,Columbia,http://www.columbiasc.net,4774839,24,http://www.scstatehouse.gov/scconstitution/scconst.php,https://cdn.civil.services/us-states/flags/south-carolina-large.png,https://cdn.civil.services/us-states/seals/south-carolina-large.png,https://cdn.civil.services/us-states/maps/south-carolina-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-carolina.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-carolina.jpg,https://twitter.com/scgov,http://www.facebook.com/pages/SCgov/12752057990,32020.49,48781,14.1,4.882844193,27.0
South Dakota,SD,Mount Rushmore State,http://sd.gov,1889,40,Pierre,http://ci.pierre.sd.us,844877,46,http://legis.sd.gov/statutes/Constitution,https://cdn.civil.services/us-states/flags/south-dakota-large.png,https://cdn.civil.services/us-states/seals/south-dakota-large.png,https://cdn.civil.services/us-states/maps/south-dakota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/south-dakota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/south-dakota.jpg,,,77115.68,54126,11.8,4.046540888,27.8
Tennessee,TN,Volunteer State,https://www.tn.gov,1796,16,Nashville,http://www.nashville.gov,6495978,17,http://www.capitol.tn.gov/about/docs/TN-Constitution.pdf,https://cdn.civil.services/us-states/flags/tennessee-large.png,https://cdn.civil.services/us-states/seals/tennessee-large.png,https://cdn.civil.services/us-states/maps/tennessee-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/tennessee.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/tennessee.jpg,https://twitter.com/TNVacation,https://www.facebook.com/tnvacation,42144.25,48708,12.6,6.23721383,26.1
Texas,TX,Lone Star State,https://www.texas.gov,1845,28,Austin,http://www.austintexas.gov,26448193,2,http://www.constitution.legis.state.tx.us,https://cdn.civil.services/us-states/flags/texas-large.png,https://cdn.civil.services/us-states/seals/texas-large.png,https://cdn.civil.services/us-states/maps/texas-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/texas.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/texas.jpg,https://twitter.com/texasgov,http://www.facebook.com/Texas.gov,268596.46,57051,13.7,4.108690574,28.7
Utah,UT,The Beehive State,https://utah.gov,1896,45,Salt Lake City,http://www.slcgov.com,2900872,33,http://le.utah.gov/UtahCode/chapter.jsp?code=Constitution,https://cdn.civil.services/us-states/flags/utah-large.png,https://cdn.civil.services/us-states/seals/utah-large.png,https://cdn.civil.services/us-states/maps/utah-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/utah.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/utah.jpg,https://twitter.com/UtahGov,https://www.facebook.com/utahgov,84896.88,65325,7.9,2.330830517,32.5
Vermont,VT,Green Mountain State,http://vermont.gov,1791,14,Montpelier,http://www.montpelier-vt.org,626630,49,http://www.leg.state.vt.us/statutes/const2.htm,https://cdn.civil.services/us-states/flags/vermont-large.png,https://cdn.civil.services/us-states/seals/vermont-large.png,https://cdn.civil.services/us-states/maps/vermont-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/vermont.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/vermont.jpg,https://twitter.com/vermontgov,https://www.facebook.com/MyVermont,9616.36,57808,9.6,1.999604353,36.8
Virginia,VA,Old Dominion State,https://www.virginia.gov,1788,10,Richmond,http://www.richmondgov.com,8260405,12,http://hodcap.state.va.us/publications/Constitution-01-13.pdf,https://cdn.civil.services/us-states/flags/virginia-large.png,https://cdn.civil.services/us-states/seals/virginia-large.png,https://cdn.civil.services/us-states/maps/virginia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/virginia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/virginia.jpg,,,42774.93,68766,10.7,1.719625929,37.6
Washington,WA,The Evergreen State,http://www.wa.gov,1889,42,Olympia,http://www.ci.olympia.wa.us,6971406,13,http://www.leg.wa.gov/lawsandagencyrules/pages/constitution.aspx,https://cdn.civil.services/us-states/flags/washington-large.png,https://cdn.civil.services/us-states/seals/washington-large.png,https://cdn.civil.services/us-states/maps/washington-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/washington.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/washington.jpg,https://twitter.com/wagov,,71297.95,66174,10.3,3.114818732,34.5
West Virginia,WV,Mountain State,http://www.wv.gov,1863,35,Charleston,http://www.cityofcharleston.org,1854304,38,http://www.legis.state.wv.us/WVCODE/WV_CON.cfm,https://cdn.civil.services/us-states/flags/west-virginia-large.png,https://cdn.civil.services/us-states/seals/west-virginia-large.png,https://cdn.civil.services/us-states/maps/west-virginia-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/west-virginia.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/west-virginia.jpg,https://twitter.com/wvgov,https://www.facebook.com/wvgov,24230.04,44061,17.2,2.954467893,19.9
Wisconsin,WI,Badger State,https://www.wisconsin.gov,1848,30,Madison,http://www.ci.madison.wi.us,5742713,20,http://www.legis.state.wi.us/rsb/2wiscon.html,https://cdn.civil.services/us-states/flags/wisconsin-large.png,https://cdn.civil.services/us-states/seals/wisconsin-large.png,https://cdn.civil.services/us-states/maps/wisconsin-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wisconsin.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wisconsin.jpg,,,65496.38,56759,9.5,2.899494527,29.0
Wyoming,WY,Equality State,http://www.wyo.gov,1890,44,Cheyenne,http://www.cheyennecity.org,582658,50,http://legisweb.state.wy.us/statutes/constitution.aspx?file=titles/97Title97.htm,https://cdn.civil.services/us-states/flags/wyoming-large.png,https://cdn.civil.services/us-states/seals/wyoming-large.png,https://cdn.civil.services/us-states/maps/wyoming-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/wyoming.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/wyoming.jpg,,,97813.01,60938,11.4,2.122072846,26.7
