Word,Part of Speech,Per Million Words,Length
cut,verb,213.4,3
sense,noun,213.1,5
plan,noun,212.9,4
someone,pronoun,212.5,7
expect,verb,212.4,6
effect,noun,211.6,6
behind,preposition,211.2,6
death,noun,207.2,5
local,adjective,206.6,5
kill,verb,205.9,4
suggest,verb,205.9,7
reach,verb,205.3,5
development,noun,204.4,11
class,noun,202.9,5
remain,verb,202.9,6
six,number,201.3,3
economic,adjective,200.9,8
control,noun,200.7,7
voice,noun,198.6,5
require,verb,198.4,7
former,determiner,197.6,6
care,noun,197.5,4
little,adverb,197.1,6
role,noun,197.0,4
thank,verb,196.8,5
report,verb,195.9,6
else,adverb,195.3,4
sell,verb,195.3,4
major,adjective,194.4,5
light,noun,194.3,5
field,noun,193.9,5
pull,verb,193.9,4
rate,noun,193.8,4
perhaps,adverb,193.5,7
raise,verb,193.4,5
show,noun,193.0,4
hard,adjective,192.9,4
effort,noun,192.2,6
late,adjective,192.0,4
drug,noun,191.6,4
pass,verb,191.5,4
police,noun,190.8,6
up,preposition,190.6,2
leader,noun,189.9,6
themselves,pronoun,189.5,10
military,adjective,189.2,8
possible,adjective,189.1,8
along,preposition,188.7,5
arm,noun,188.6,3
sometimes,adverb,188.5,9
develop,verb,188.5,7
relationship,noun,187.9,12
heart,noun,187.9,5
price,noun,187.7,5
decide,verb,186.7,6
better,adjective,186.4,6
according,preposition,186.2,9
whole,adjective,186.1,5
season,noun,186.1,6
strong,adjective,185.9,6
wife,noun,185.8,4
report,noun,184.8,6
model,noun,184.4,5
value,noun,184.3,5
less,adverb,184.3,4
difference,noun,184.2,10
mind,noun,184.0,4
decision,noun,183.2,8
free,adjective,182.4,4
finally,adverb,182.1,7
federal,adjective,181.8,7
return,verb,181.8,6
international,adjective,181.4,13
hope,verb,180.9,4
player,noun,180.8,6
view,noun,180.8,4
society,noun,180.4,7
road,noun,180.0,4
son,noun,179.8,3
explain,verb,179.5,7
tax,noun,179.4,3
join,verb,179.1,4
drive,verb,178.8,5
receive,verb,178.3,7
action,noun,177.8,6
town,noun,177.4,4
director,noun,177.4,8
carry,verb,176.7,5
break,verb,176.2,5
true,adjective,176.2,4
even,conjunction,175.7,4
official,noun,175.6,8
form,noun,174.4,4
building,noun,174.4,8
better,adverb,174.1,6
activity,noun,173.3,8
wear,verb,173.2,4
full,adjective,172.3,4
record,noun,172.2,6
pick,verb,171.5,4
position,noun,171.4,8
because,preposition,171.4,7
agree,verb,170.6,5
data,noun,170.2,4
support,verb,170.1,7
especially,adverb,169.6,10
site,noun,168.7,4
base,verb,168.6,4
early,adverb,168.0,5
event,noun,167.9,5
project,noun,167.7,7
space,noun,167.5,5
paper,noun,167.5,5
special,adjective,167.3,7
table,noun,167.2,5
whose,determiner,166.5,5
need,noun,166.4,4
couple,noun,166.4,6
figure,noun,166.4,6
ground,noun,166.0,6
center,noun,165.7,6
everyone,pronoun,165.6,8
oil,noun,165.3,3
produce,verb,164.8,7
court,noun,164.7,5
hit,verb,164.4,3
matter,noun,164.1,6
practice,noun,163.9,8
star,noun,163.8,4
cost,noun,163.4,4
eat,verb,163.3,3
end,verb,162.4,3
American,noun,162.4,8
industry,noun,162.3,8
teach,verb,161.5,5
situation,noun,161.3,9
patient,noun,160.5,7
image,noun,160.5,5
street,noun,159.2,6
Republican,noun,159.1,10
easy,adjective,159.1,4
phone,noun,159.1,5
wall,noun,158.6,4
describe,verb,158.6,8
itself,pronoun,158.0,6
half,determiner,157.6,4
product,noun,157.5,7
recent,adjective,157.1,6
news,noun,155.7,4
quite,adverb,155.5,5
worker,noun,155.5,6
test,noun,155.3,4
land,noun,155.0,4
technology,noun,154.6,10
hair,noun,154.6,4
either,adverb,154.4,6
face,verb,154.4,4
doctor,noun,154.3,6
support,noun,154.3,7
cover,verb,154.2,5
movie,noun,154.2,5
picture,noun,153.8,7
piece,noun,153.1,5
clear,adjective,152.6,5
type,noun,152.2,4
window,noun,151.8,6
catch,verb,151.6,5
north,noun,151.2,5
personal,adjective,150.9,8
baby,noun,150.8,4
love,noun,150.0,4
computer,noun,149.8,8
organization,noun,149.5,12
certain,adjective,149.4,7
open,adjective,149.4,4
culture,noun,149.2,7
third,number,149.0,5
source,noun,148.6,6
film,noun,148.3,4
simply,adverb,148.2,6
tree,noun,148.1,4
step,noun,147.2,4
red,adjective,147.1,3
look,noun,147.1,4
century,noun,145.9,7
evidence,noun,145.2,8
attention,noun,145.0,9
billion,number,145.0,7
draw,verb,144.9,4
listen,verb,144.4,6
nearly,adverb,144.1,6
period,noun,143.4,6
cause,verb,143.4,5
choose,verb,143.0,6
campaign,noun,142.6,8
energy,noun,142.5,6
course,noun,142.2,6
difficult,adjective,142.1,9
condition,noun,141.1,9
plant,noun,141.1,5
brother,noun,140.9,7
available,adjective,140.4,9
soon,adverb,140.4,4
likely,adjective,140.0,6
population,noun,140.0,10
point,verb,140.0,5
term,noun,139.9,4
Congress,noun,139.6,8
chance,noun,139.3,6
behavior,noun,139.2,8
summer,noun,138.9,6
floor,noun,138.8,5
material,noun,138.8,8
opportunity,noun,138.7,11
less,determiner,138.1,4
administration,noun,137.9,14
realize,verb,137.2,7
subject,noun,136.4,7
hundred,number,136.1,7
current,adjective,136.1,7
well,preposition,136.0,4
rule,noun,135.7,4
economy,noun,135.5,7
place,verb,135.4,5
close,verb,135.3,5
south,noun,134.7,5
choice,noun,134.4,6
short,adjective,134.3,5
increase,verb,134.3,8
risk,noun,134.3,4
daughter,noun,134.3,8
letter,noun,134.2,6
bed,noun,134.0,3
husband,noun,133.6,7
single,adjective,133.5,6
performance,noun,133.1,11
certainly,adverb,132.8,9
myself,pronoun,132.7,6
defense,noun,132.7,7
call,noun,132.3,4
involve,verb,132.3,7
church,noun,132.1,6
per,preposition,132.1,3
medical,adjective,132.1,7
fire,noun,132.0,4
sport,noun,131.1,5
bank,noun,131.1,4
wrong,adjective,131.1,5
significant,adjective,131.0,11
security,noun,130.9,8
represent,verb,130.5,9
goal,noun,130.5,4
hospital,noun,130.4,8
seek,verb,130.0,4
board,noun,129.9,5
thousand,number,129.6,8
author,noun,129.6,6
anyone,pronoun,129.5,6
west,noun,129.3,4
future,noun,128.9,6
nature,noun,128.7,6
throw,verb,128.4,5
top,noun,128.3,3
officer,noun,128.0,7
factor,noun,128.0,6
foreign,adjective,127.9,7
deal,verb,127.7,4
private,adjective,127.2,7
focus,verb,127.1,5
thus,adverb,126.8,4
upon,preposition,126.7,4
reduce,verb,126.7,6
note,verb,126.7,4
color,noun,126.6,5
agency,noun,126.6,6
fill,verb,126.5,4
fight,verb,126.4,5
sound,noun,126.3,5
rest,noun,126.0,4
past,adjective,125.8,4
order,noun,125.5,5
quickly,adverb,125.5,7
drop,verb,125.4,4
blood,noun,125.2,5
response,noun,125.2,8
movement,noun,124.9,8
store,noun,124.8,5
push,verb,124.7,4
second,noun,124.5,6
recently,adverb,124.4,8
common,adjective,124.3,6
page,noun,124.3,4
similar,adjective,124.2,7
plan,verb,124.1,4
language,noun,124.0,8
than,preposition,123.8,4
before,adverb,123.6,6
natural,adjective,123.4,7
concern,noun,122.7,7
fine,adjective,122.6,4
dead,adjective,122.5,4
article,noun,121.9,7
near,preposition,121.9,4
race,noun,121.9,4
PM,adverb,121.7,2
individual,noun,121.6,10
ok,adverb,121.5,2
no,adverb,121.3,2
hot,adjective,121.3,3
series,noun,121.2,6
enter,verb,121.1,5
other,pronoun,120.8,5
artist,noun,120.8,6
stock,noun,120.7,5
share,verb,120.0,5
approach,noun,120.0,8
fund,noun,119.7,4
analysis,noun,119.6,8
poor,adjective,119.6,4
decade,noun,119.4,6
each,pronoun,119.3,4
cup,noun,119.2,3
rise,verb,119.0,4
identify,verb,118.9,8
usually,adverb,118.8,7
resource,noun,118.7,8
treatment,noun,118.6,9
indicate,verb,118.3,8
animal,noun,118.1,6
shoot,verb,117.9,5
east,noun,117.8,4
herself,pronoun,117.6,7
occur,verb,117.3,5
exactly,adverb,117.1,7
central,adjective,116.7,7
dog,noun,116.3,3
quality,noun,116.1,7
determine,verb,115.8,9
career,noun,115.8,6
save,verb,115.7,4
seven,number,115.6,5
away,preposition,115.6,4
size,noun,115.3,4
media,noun,115.1,5
happy,adjective,114.8,5
lie,verb,114.8,3
despite,preposition,114.5,7
thought,noun,114.5,7
ability,noun,114.4,7
physical,adjective,114.3,8
election,noun,114.0,8
scene,noun,113.9,5
disease,noun,113.8,7
environmental,adjective,113.8,13
everybody,pronoun,113.7,9
argue,verb,113.4,5
region,noun,113.1,6
growth,noun,113.1,6
attack,noun,113.1,6
wonder,verb,113.1,6
eight,number,113.0,5
ready,adjective,113.0,5
hard,adverb,112.9,4
pressure,noun,112.8,8
beyond,preposition,112.8,6
list,noun,112.6,4
protect,verb,112.6,7
degree,noun,112.5,6
simple,adjective,112.4,6
success,noun,112.3,7
left,adjective,112.2,4
skill,noun,112.1,5
pretty,adverb,112.0,6
knowledge,noun,111.9,9
particularly,adverb,111.8,12
serious,adjective,111.7,7
whatever,determiner,111.6,8
staff,noun,111.5,5
sign,noun,111.2,4
recognize,verb,111.2,9
training,noun,111.1,8
answer,noun,111.0,6
accept,verb,111.0,6
amount,noun,111.0,6
meeting,noun,110.9,7
standard,noun,110.8,8
section,noun,110.6,7
loss,noun,110.6,4
trade,noun,110.4,5
glass,noun,110.4,5
television,noun,110.4,10
box,noun,110.4,3
present,verb,110.4,7
general,adjective,110.3,7
character,noun,110.1,9
TV,noun,109.9,2
lay,verb,109.7,3
prepare,verb,109.4,7
strategy,noun,109.2,8
bill,noun,108.9,4
deal,noun,108.8,4
design,noun,108.0,6
benefit,noun,108.0,7
laugh,verb,107.9,5
sister,noun,107.1,6
compare,verb,106.9,7
guess,verb,106.8,5
crime,noun,106.7,5
state,verb,106.6,5
forward,adverb,106.4,7
lawyer,noun,106.3,6
environment,noun,106.2,11
financial,adjective,106.2,9
answer,verb,105.9,6
blue,adjective,105.8,4
dark,adjective,105.7,4
tonight,adverb,105.7,7
message,noun,105.6,7
fail,verb,105.6,4
leg,noun,105.5,3
arrive,verb,105.4,6
name,verb,105.3,4
feeling,noun,105.2,7
executive,noun,105.2,9
authority,noun,105.1,9
gun,noun,105.1,3
democratic,adjective,105.1,10
operation,noun,105.1,9
example,noun,104.7,7
sort,noun,104.6,4
Democrat,noun,104.2,8
discuss,verb,104.1,7
ten,number,104.1,3
various,adjective,103.9,7
hang,verb,103.6,4
outside,preposition,103.6,7
professor,noun,103.5,9
miss,verb,103.4,4
religious,adjective,103.2,9
stage,noun,103.0,5
station,noun,102.9,7
manager,noun,102.6,7
indeed,adverb,102.6,6
design,verb,102.1,6
establish,verb,102.0,9
clearly,adverb,102.0,7
check,verb,101.7,5
science,noun,101.6,7
public,noun,101.5,6
cultural,adjective,101.5,8
act,verb,101.4,3
one,noun,101.3,3
since,preposition,101.3,5
forget,verb,101.3,6
theory,noun,101.2,6
little,determiner,101.0,6
song,noun,100.8,4
sound,verb,100.7,5
rock,noun,100.5,4
shake,verb,100.4,5
truth,noun,100.3,5
network,noun,100.3,7
set,noun,100.3,3
management,noun,100.2,10
no,interjection,99.9,2
rather,adverb,99.9,6
force,verb,99.8,5
study,verb,99.8,5
cell,noun,99.6,4
legal,adjective,99.6,5
nice,adjective,99.5,4
note,noun,99.4,4
firm,noun,99.3,4
remove,verb,99.3,6
green,adjective,99.3,5
cold,adjective,99.2,4
form,verb,99.2,4
trial,noun,98.9,5
seat,noun,98.7,4
enough,determiner,98.6,6
prove,verb,98.5,5
claim,verb,98.4,5
above,preposition,98.1,5
spring,noun,98.0,6
enjoy,verb,97.8,5
entire,adjective,97.8,6
measure,noun,97.6,7
expert,noun,97.6,6
impact,noun,97.3,6
help,noun,97.2,4
main,adjective,97.1,4
traditional,adjective,97.1,11
structure,noun,97.0,9
card,noun,96.9,4
final,adjective,96.9,5
close,adjective,96.8,5
onto,preposition,96.8,4
memory,noun,96.7,6
ball,noun,96.7,4
maintain,verb,96.7,8
imagine,verb,96.6,7
yourself,pronoun,96.4,8
suddenly,adverb,96.4,8
that,adverb,96.4,4
talk,noun,96.1,4
chair,noun,96.1,5
candidate,noun,96.1,9
weapon,noun,95.9,6
radio,noun,95.9,5
finish,verb,95.9,6
care,verb,95.5,4
visit,verb,95.4,5
statement,noun,95.4,9
avoid,verb,95.3,5
shoulder,noun,95.2,8
close,adverb,95.2,5
employee,noun,95.2,8
method,noun,94.8,6
reveal,verb,94.7,6
huge,adjective,94.6,4
contain,verb,94.5,7
popular,adjective,94.2,7
specific,adjective,94.2,8
apply,verb,94.2,5
charge,noun,94.1,6
individual,adjective,94.1,10
particular,adjective,94.0,10
peace,noun,93.9,5
institution,noun,93.7,11
respond,verb,93.6,7
production,noun,93.4,10
weight,noun,93.2,6
bit,noun,93.1,3
control,verb,92.8,7
politics,noun,92.8,8
perform,verb,92.6,7
play,noun,92.6,4
head,verb,92.6,4
somebody,pronoun,92.5,8
interview,noun,92.4,9
rather,preposition,92.4,6
affect,verb,92.2,6
fish,noun,92.2,4
top,adjective,92.2,3
smile,verb,92.2,5
participant,noun,92.1,11
fly,verb,91.9,3
pain,noun,91.9,4
range,noun,91.8,5
direction,noun,91.7,9
wide,adjective,91.6,4
camera,noun,91.6,6
base,noun,91.5,4
unit,noun,91.3,4
edge,noun,91.0,4
style,noun,90.9,5
evening,noun,90.8,7
inside,preposition,90.8,6
finger,noun,90.8,6
necessary,adjective,90.6,9
coach,noun,90.5,5
adult,noun,90.5,5
reflect,verb,90.4,7
conference,noun,90.3,10
commercial,adjective,90.2,10
Mrs,noun,90.1,3
manage,verb,90.1,6
discover,verb,90.0,8
trip,noun,89.8,4
middle,adjective,89.8,6
pattern,noun,89.8,7
challenge,noun,89.7,9
heat,noun,89.7,4
break,noun,89.7,5
item,noun,89.6,4
treat,verb,89.5,5
improve,verb,89.4,7
worry,verb,89.4,5
mouth,noun,89.3,5
stuff,noun,89.3,5
throughout,preposition,89.3,10
deep,adjective,89.2,4
purpose,noun,89.1,7
beautiful,adjective,89.0,9
property,noun,88.9,8
bag,noun,88.9,3
far,adjective,88.8,3
best,adverb,88.8,4
skin,noun,88.7,4
bar,noun,88.6,3
mention,verb,88.5,7
address,verb,88.4,7
ahead,adverb,88.2,5
writer,noun,88.1,6
trouble,noun,88.1,7
hotel,noun,88.1,5
down,preposition,88.1,4
discussion,noun,88.0,10
dream,noun,88.0,5
tough,adjective,88.0,5
past,noun,87.9,4
soldier,noun,87.9,7
sea,noun,87.8,3
owner,noun,87.8,5
vote,noun,87.7,4
sign,verb,87.6,4
cancer,noun,87.6,6
surface,noun,87.5,7
step,verb,87.5,4
exist,verb,87.4,5
kitchen,noun,87.4,7
positive,adjective,87.4,8
score,noun,87.3,5
stare,verb,87.3,5
painting,noun,87.3,8
yard,noun,87.2,4
task,noun,87.1,4
magazine,noun,87.1,8
budget,noun,87.0,6
heavy,adjective,87.0,5
relate,verb,87.0,6
instead,adverb,86.8,7
notice,verb,86.5,6
fear,noun,86.3,4
cause,noun,86.3,5
fall,noun,86.3,4
investment,noun,86.2,10
garden,noun,86.2,6
total,adjective,86.2,5
detail,noun,86.1,6
test,verb,85.9,4
sing,verb,85.7,4
marriage,noun,85.6,8
violence,noun,85.5,8
collection,noun,85.4,10
machine,noun,85.3,7
reality,noun,85.3,7
modern,adjective,85.3,6
generation,noun,85.2,10
tend,verb,85.1,4
beat,verb,85.0,4
agent,noun,85.0,5
gas,noun,84.9,3
agreement,noun,84.8,9
consumer,noun,84.6,8
attorney,noun,84.4,8
whom,pronoun,84.3,4
civil,adjective,83.9,5
scientist,noun,83.8,9
partner,noun,83.4,7
wish,verb,83.4,4
newspaper,noun,83.4,9
shot,noun,83.3,4
interesting,adjective,83.3,11
capital,noun,83.2,7
western,adjective,83.1,7
front,preposition,83.0,5
nor,conjunction,82.7,3
debate,noun,82.7,6
dinner,noun,82.6,6
responsibility,noun,82.4,14
threat,noun,82.3,6
relation,noun,82.1,8
victim,noun,82.0,6
Senate,noun,81.8,6
account,noun,81.7,7
majority,noun,81.7,8
absolutely,adverb,81.6,10
senior,adjective,81.3,6
safe,adjective,81.2,4
wind,noun,81.1,4
prevent,verb,80.9,7
citizen,noun,80.9,7
global,adjective,80.8,6
professional,adjective,80.7,12
instead,preposition,80.5,7
audience,noun,80.5,8
Soviet,adjective,80.4,6
figure,verb,80.3,6
reform,noun,80.2,6
key,adjective,80.1,3
troop,noun,80.0,5
customer,noun,80.0,8
fresh,adjective,79.9,5
assume,verb,79.9,6
concept,noun,79.9,7
rich,adjective,79.9,4
restaurant,noun,79.8,10
effective,adjective,79.7,9
therefore,adverb,79.6,9
examine,verb,79.6,7
critical,adjective,79.6,8
species,noun,79.6,7
travel,verb,79.4,6
like,conjunction,79.2,4
speech,noun,78.9,6
corner,noun,78.9,6
fast,adverb,78.8,4
judge,noun,78.8,5
successful,adjective,78.8,10
attitude,noun,78.7,8
option,noun,78.7,6
forest,noun,78.7,6
none,pronoun,78.6,4
born,verb,78.6,4
southern,adjective,78.5,8
access,noun,78.5,6
video,noun,78.3,5
vote,verb,78.3,4
