school_code,school_name
52159,Harvard-Westlake School
52167,Norwalk High School
52185,Bishop O'Dowd High School
52191,California Crosspoint High School
52209,School For Independent Learners
52225,Oakland High School
52238,Skyline High School
52240,Oakland Technical High School
52248,El Camino High School
52256,Laurel Springs School
52262,Ojai Valley School
52267,Canyon High School
52269,Lutheran High School Orange County
52276,El Modena High School
52279,Villa Park High School
52282,Miramonte High School
52310,Pacific Grove High School
52311,Pacific Bay Christian School
52315,Palmdale High School
52319,Palm Desert High School
52320,Palm Springs High School
52327,Palisades Charter High School
52347,Henry M Gunn High School
52350,Palo Alto Senior High School
52358,Palos Verdes High School
52365,Paramount High School
52379,Pacifica High School
52392,La Salle High School
52402,Polytechnic School
52420,Westridge School
52440,Perris High School
52448,Casa Grande High School
52460,Petaluma High School
52462,Piedmont High School
52475,Pittsburg High School
52480,Valencia High School
52484,Unity High School
52485,El Dorado High School
52495,Amador Valley High School
52502,Damien High School
52513,Monache High School
52518,City of Knowledge
52527,Woodside Priory School
52533,Poway High School
52536,Rancho Bernardo High School
52541,Highland High School
52543,Quartz Hill High School
52546,Rancho Cucamonga High School
52563,Santa Margarita Catholic High School
52567,Martin Luther King High School
52572,Redlands East Valley High School
52575,Red Bluff High School
52580,Enterprise High School
52590,Redlands High School
52600,Redondo Union High School
52609,Rocklin High School
52613,Immanuel High School
52618,Cleveland High School
52622,Eisenhower High School
52650,Ripon High School
52655,El Rancho High School
52670,Ramona High School
52678,Rancho Cotate High School
52680,Chadwick School
52681,Rolling Hills Preparatory School
52683,Palos Verdes Peninsula High School
52686,Maranatha High School
52690,Roseville High School
52694,Glen A Wilson High School
52696,John A Rowland High School
52698,Saint Francis High School
52714,Jesuit High School
52722,Florin High School
52728,West Campus High School
52733,Sacramento Country Day School
52755,Salinas High School
52759,West Shores High School
52770,Sir Francis Drake High School
52814,San Clemente High School
52820,Academy of Our Lady of Peace
52834,Scripps Ranch High School
52843,Francis Parker School
52858,Mira Mesa High School
52860,Mission Bay High School
52862,Mt Carmel High School
52867,Patrick Henry High School
52880,Saint Augustine High School
52881,Morse High School
52887,University City High School
52892,Southwest High School
52894,San Dimas High School
52896,Cathedral Catholic High School
52898,Bishop Alemany High School
52905,San Fernando High School
52908,Sylmar High School
52910,Abraham Lincoln High School
52916,Balboa High School
52933,Choices Charter School
52935,Convent Of Sacred Heart High School
52945,Galileo Academy of Science and Technology
52946,San Diego Jewish Academy
52950,George Washington High School
52970,Lowell High School
52984,Jewish Community High School of the Bay
52986,Westview High School
52987,Los Osos High School
53000,Archbishop Riordan High School
53005,Sacred Heart Cathedral Preparatory
53010,Saint Ignatius College Preparatory School
53014,Magnolia Science Academy - 1 Reseda
53029,Stuart Hall High School
53036,High Bluff Academy
53039,San Francisco University High School
53053,Don Bosco Technical Institute
53062,Gabrielino High School
53075,Abraham Lincoln High School
53078,Archbishop Mitty High School
53080,Bellarmine College Preparatory
53082,Branham High School
53087,Independence High School
53090,James Lick High School
53091,Leland High School
53092,Leigh High School
53094,Mount Pleasant High School
53095,Notre Dame High School
53096,Pioneer High School
53097,Presentation High School
53099,Oak Grove High School
53100,Silver Creek High School
53103,Westmont High School
53105,Willow Glen High School
53106,Santa Teresa High School
53107,William C Overfelt High School
53112,Saint Margaret's Episcopal School
53113,Yerba Buena High School
53120,San Leandro High School
53125,Arroyo High School
