School Name,School Code
Katella High School,50081
Loara High School,50084
Magnolia High School,50083
Western High School,50092
Oxford Academy,50776
Antelope Valley High School,51355
Palmdale High School,52315
Quartz Hill High School,52543
Lancaster High School,51412
Highland High School,52541
Littlerock High School,51418
Eastside High School,54060
Knight High School,52491
Academies of the Antelope Valley,54659
Arcadia High School,50130
Atascadero High School,50165
Azusa High School,50188
Gladstone High School,50190
Sierra Vista High School,50228
Mayfair Middle-High School,51348
Benicia High School,50280
Berkeley High School,50290
Bonita High School,51370
San Dimas High School,52894
Brawley Union High School,50365
Half Moon Bay High School,51120
Calexico High School,50425
Del Mar High School,53083
Leigh High School,53092
Branham High School,53082
Capistrano Valley High School,51968
San Clemente High School,52814
Tesoro High School,53149
Carmel High School,50475
Center High School,52141
Leuzinger High School,51375
Central Union High School,50810
Ceres High School,50525
Chaffey High School,52275
Rancho Cucamonga High School,52546
Los Osos High School,52987
Colony High School,52384
Inspire School of Arts and Sciences,54416
Chino High School,50555
Don Antonio Lugo High School,50566
Ruben S Ayala High School,50563
Chowchilla Union High School,50570
Floyd B Buchanan High School,50618
Clovis High School,50615
Clovis West High School,50982
Clovis East High School,50622
Clovis North High School,50628
West Shores High School,52759
Dominguez Senior High School,50652
Compton Early College High School,54865
Newbury Park High School,52117
Westlake High School,53503
Corona High School,50675
Santiago High School,50692
Centennial High School,50676
Eleanor Roosevelt High School,54078
Coronado High School,50680
Covina High School,50700
Northview High School,50703
South Hills High School,50704
Culver City High School,50715
Orosi High School,52290
Da Vinci Charter Academy,51082
Palm Desert High School,52319
Shadow Hills High School,54345
Dixon High School,50755
Warren High School,50771
California School of the Arts - San Gabriel Valley,52210
Andrew P Hill High School,53077
James Lick High School,53090
Mount Pleasant High School,53094
William C Overfelt High School,53107
Piedmont Hills High School,51976
Santa Teresa High School,53106
Silver Creek High School,53100
Evergreen Valley High School,53169
KIPP San Jose Collegiate,54377
El Dorado High School,52485
Ponderosa High School,53373
Oak Ridge High School,50818
South El Monte High School,53404
Arroyo High School,50830
El Rancho High School,52655
El Segundo High School,50845
Florin High School,52722
Franklin High School,50824
Cosumnes Oaks High School,54204
Emery Secondary School,50860
Escondido High School,50880
Orange Glen High School,50873
San Pasqual High School,50884
Esparto High School,50885
Armijo High School,50910
Fairfield High School,50911
Angelo Rodriguez High School,50919
Fallbrook Union High School,50925
Vista del Lago High School,54166
Fontana High School,50945
A B Miller High School,50944
Summit High School,50897
American High School,50974
Irvington High School,50968
Lynbrook High School,53463
Monta Vista High School,53466
Bullard High School,50973
Edison High School,50980
Theodore Roosevelt High School,50995
Sunnyside High School,51045
Duncan Polytechnical High School,50997
Design Science Middle College High School,54003
Phillip J Patino School of Entrepreneurship,54849
Fullerton Union High School,51010
La Habra High School,51325
Sonora High School,51327
Sunny Hills High School,51008
Troy High School,51009
Galt High School,51015
Garden Grove High School,51030
La Quinta High School,53737
Los Amigos High School,50963
Pacifica High School,51034
Christopher High School,54364
El Cajon Valley High School,50805
El Capitan High School,51346
Grossmont High School,51110
Helix Charter High School,51350
Monte Vista High School,53416
Santana High School,53342
Valhalla High School,50804
West Hills High School,53381
Glen A Wilson High School,52694
Hawthorne Math and Science Academy,51122
Hayward High School,51150
Mount Eden High School,51153
Impact Academy of Arts and Technology,54255
Hemet High School,51165
Tahquitz High School,54214
Western Center Academy,54764
Edison High School,51218
Fountain Valley High School,50964
Huntington Beach High School,51220
Marina High School,51221
Ocean View High School,51224
Westminster High School,53739
Imperial High School,51240
Inglewood High School,51260
Morningside High School,51262
Patriot High School,54159
Centennial High School,50209
Bakersfield High School,50205
Highland High School,50218
Shafter High School,53360
King City Joint Union High School,51305
Kingsburg Joint Union High School,51310
Laguna Beach High School,51320
Agoura High School,50003
Calabasas High School,50421
Liberty High School,50375
Freedom High School,50372
Lincoln High School,53430
Lindsay High School,51415
Granada High School,51423
Vineyard Alternative High School,53886
Aspire Benjamin Holt College Preparatory Academy,53843
Lompoc High School,51455
David Starr Jordan High School,51465
Lakewood High School,51347
Robert Millikan High School,51476
Long Beach Polytechnic High School,51480
Juan Rodriguez Cabrillo High School,51504
California Academy of Mathematics and Science,50491
Ernest Mcbride Senior High School,54725
Los Alamitos High School,51508
Phineas Banning High School,53785
Bell High School,50245
Birmingham Community High School,53615
Carson High School,53515
Chatsworth High School,50528
Cleveland High School,52618
Crenshaw High School,51569
El Camino Real Charter High School,53801
Fairfax High School,51590
Foshay Learning Center,51788
Francis Polytechnic Senior High School,53467
Benjamin Franklin High School,51550
Robert Fulton College Preparatory School,54030
Gardena High School,51020
James A Garfield High School,51635
Granada Hills Charter High School,51088
Alexander Hamilton High School,51525
Huntington Park High School,51230
Thomas Jefferson High School,51815
Los Angeles Senior High School,51680
Manual Arts Senior High School,51700
John Marshall High School,51650
North Hollywood High School,52145
Reseda High School,52620
San Fernando High School,52905
San Pedro High School,53195
William Howard Taft High School,53806
University High School Charter,51825
Van Nuys High School,53635
Venice High School,51828
Verdugo Hills High School,53545
George Washington Preparatory High School,51605
Woodrow Wilson High School,51840
Palisades Charter High School,52327
King Drew Magnet High School Medicine and Science,51672
Sherman Oaks Center for Enriched Studies,52617
Dr Richard A Vladovic Harbor Teacher Preparation Academy,53747
Alliance Gertz-Ressler High School,53983
Orthopaedic Hospital Magnet High School,51811
International Studies Learning Center,54028
Champs,54046
Alliance Judy Ivie Burton Technology Academy High School,54088
Alliance Collins College Ready High School,54118
Maywood Academy High School,53998
Los Angeles Academy of Arts and Enterprise,54387
Arleta High School,50068
Panorama High School,54081
Los Angeles High School of the Arts,54162
Edward R Roybal Learning Center,51862
Alliance Leichtman-Levine Environmental Science High School,54360
Felicitas and Gonzalo Mendez High School,54381
UCLA Community School,51662
ALLIANCE CINDY & BILL SIMON TECH ACADEMY HIGH SCHL,51804
Alliance Tennenbaum Family Technology High School,54527
East Los Angeles Renaissance Academy at Torres High,54450
University Prep Value High School,54891
East Los Angeles Performing Arts Academy at Torres High School,54452
PUC Triumph Charter Academy and High School,54532
Alliance Renee & Meyer Luskin College-Ready Academy High School,51663
Alliance Margaret M Bloomfield High School,54772
Critical Design And Gaming School at A Hawkins High School,54632
Math And Science College Preparatory,54767
STEM Academy Of Hollywood,54624
Huntington Park Institute Of Applied Medicine,54667
Girls Academic Leadership Academy,50309
Maywood Center for Enriched Studies,50551
Esperanza College Prep,51633
Nipomo High School,52211
Madera South High School,51874
Mammoth High School,51892
Manteca High School,51900
Weston Ranch High School,53839
Alhambra High School,51915
Golden Valley High School,51953
Atwater High School,50172
Livingston High School,51430
Buhach Colony High School,50181
Grace M Davis High School,51983
Thomas Downey High School,52000
James Enochs High School,54043
Joseph A Gregori High School,52031
Bell Gardens Senior High School,50265
Seaside High School,52048
Moorpark High School,52055
Valley View High School,52057
Vista Del Lago High School,52216
College Park High School,50659
Mount Diablo High School,50660
Northgate High School,50666
Napa High School,52085
American Canyon High School,54406
Nevada Union High School,51095
Bear River High School,51092
James Logan High School,50969
Newark Memorial High School,52114
Corona Del Mar High School,52128
Newport Harbor High School,52130
John H Glenn High School,52166
La Mirada High School,51352
Norwalk High School,52167
San Marin High School,52172
Oak Park High School,50006
Oakland High School,52225
Skyline High School,52238
Unity High School,52484
Coliseum College Prep Academy,54412
Oakland Charter High School,54303
Castlemont High School,54611
Lps Oakland R&D Campus,54704
East Bay Innovation Academy,54970
El Camino High School,52248
Canyon High School,52267
El Modena High School,52276
Villa Park High School,52279
Adolfo Camarillo High School,50438
Oxnard High School,52305
Pacifica High School,52379
"Architecture, Construction and Engineering Charter High School",54495
Desert Hot Springs High School,50334
Rancho Mirage High School,54702
Henry M Gunn High School,52347
Palo Alto Senior High School,52350
Palo Verde High School,50350
Palos Verdes Peninsula High School,52683
Paramount High School,52365
Pasadena High School,52401
Patterson High School,52430
Perris High School,52440
Paloma Valley High School,51907
California Military Institute,54173
Petaluma High School,52460
Piedmont High School,52462
Pittsburg High School,52475
El Dorado High School,52478
Esperanza High School,50093
Valencia High School,52480
Chester High School,50535
Greenville High School,51100
Portola High School,52525
Quincy Junior Senior High School,52545
Fremont Academy Of Engineering and Design,54523
Ganesha High School,52503
Garey High School,52501
Diamond Ranch High School,52516
Poway High School,52533
Rancho Bernardo High School,52536
Redlands East Valley High School,52572
Citrus Valley High School,54331
Rialto High School,52629
Eisenhower High School,52622
Wilmer Amina Carter High School,53855
Pinole Valley High School,52464
Hercules High School,51206
Rim of the World High School,51340
Arlington High School,52658
John W North High School,52661
Ramona High School,52670
Martin Luther King High School,52567
Riverside Virtual School,54407
Woodcreek High School,52598
Roseville High School,52690
Granite Bay High School,51106
Antelope High School,54250
John A Rowland High School,52696
C K McClatchy High School,52705
George Washington Carver School of Arts and Science,53015
El Toro High School,51974
Laguna Hills High School,51369
Mission Viejo High School,51981
Trabuco Hills High School,51958
Everett Alvarez High School,52778
Salinas High School,52755
Clairemont High School,52837
Patrick Henry High School,52867
Herbert Hoover High School,52850
La Jolla High School,51335
Mira Mesa High School,52858
Mission Bay High School,52860
Morse High School,52881
University City High School,52887
Ofarrell Community Charter School,54629
San Diego High International Studies,53907
Kearny School Of Biomedical Science And Technology,53900
Crawford High School,54630
San Diego SciTech High School,53903
iHigh Virtual Academy,54365
E3 Civic High,54723
San Dieguito Academy,50865
Torrey Pines High School,50466
La Costa Canyon High School,50858
Canyon Crest Academy,50893
Abraham Lincoln High School,52910
Balboa High School,52916
Galileo Academy of Science and Technology,52945
George Washington High School,52950
Lowell High School,52970
Mission High School,52980
Raoul Wallenberg Traditional High School,52999
Phillip and Sala Burton Academic High School,52994
KIPP: San Francisco College Preparatory,54816
San Jacinto High School,53070
Abraham Lincoln High School,53075
Gunderson High School,53088
Leland High School,53091
Willow Glen High School,53105
Downtown College Preparatory el Primero,53164
Bella Vista High School,50912
Casa Roble Fundamental High School,52284
Del Campo High School,50915
Mesa Verde High School,50587
Mira Loma High School,52723
Rio Americano High School,52730
San Leandro High School,53120
Arroyo High School,53125
KIPP King Collegiate High School,54231
San Lorenzo Valley High School,50927
San Luis Obispo High School,53145
San Marcos High School,50883
Mills High School,51972
San Mateo High School,53175
San Rafael High School,53222
Terra Linda High School,53231
California High School,53229
Monte Vista High School,50727
San Ramon Valley High School,50725
Sanger High School,53065
Valley High School,53243
Adrian C Wilcox High School,53276
Santa Clara High School,53280
Harbor High School,53293
Santa Monica High School,53320
Piner High School,53329
Menlo Atherton High School,50170
Woodside High School,53808
Tomales High School,53510
Sherman E Burroughs High School,50550
Royal High School,53379
Simi Valley High School,53380
Santa Susana High School,53372
Serrano High School,52437
Silverado High School,53682
Cobalt Institute Of Math And Science,54719
Soledad High School,53557
Edison Senior High School,53420
Eastlake High School,50579
Bonita Vista High School,50572
Castle Park High School,50573
Chula Vista Senior High School,50580
Hilltop High School,50581
