School Code,School Name,School Address,City,Zip,State
100119,Boynton Beach Community High School,4975 PARK RIDGE BLVD,BOYNTON BEACH,33426,FL
100122,Olympic Heights Community High School,20101 LYONS RD,BOCA RATON,33434,FL
100123,Saint John Paul II Academy,,,,FL
100131,Boca Raton Community High School,1501 NW 15TH CT,BOCA RATON,33486,FL
100132,Saint Andrew's School,,,,FL
100136,Spanish River Community High School,5100 JOG RD,BOCA RATON,33496,FL
100148,Saint Stephens Episcopal School,,,,FL
100155,Branford High School,405 REYNOLDS ST NE,BRANFORD,32008,FL
100168,Katz Yeshiva High School,,,,FL
100180,Windermere High School,,,,FL
100185,Flagler Palm Coast High School,5500 E HIGHWAY 100,PALM COAST,32164,FL
100194,West Boca Raton Community High School,12811 GLADES RD,BOCA RATON,33498,FL
100195,South Sumter High School,706 N MAIN ST,BUSHNELL,33513,FL
100228,Celebration High School,1809 CELEBRATION BLVD,CELEBRATION,34747,FL
100247,East Ridge High School,13322 EXCALIBUR RD,CLERMONT,34711,FL
100248,Calvary Christian High School,,,,FL
100249,North Broward Preparatory School,,,,FL
100254,Palm Harbor University High School,1900 OMAHA ST,PALM HARBOR,34683,FL
100270,South Lake High School,15600 SILVER EAGLE RD,GROVELAND,34736,FL
100286,Cooper City High School,9401 STIRLING RD,COOPER CITY,33328,FL
100289,Coral Gables Senior High School,450 BIRD RD,CORAL GABLES,33146,FL
100299,Coral Springs High School,7201 W SAMPLE RD,CORAL SPRINGS,33065,FL
100301,J P Taravella High School,10600 RIVERSIDE DR,CORAL SPRINGS,33071,FL
100315,Crescent City Junior Senior High School,2201 S US HIGHWAY 17,CRESCENT CITY,32112,FL
100324,Atlantic Technical High School,4700 COCONUT CREEK PKWY,MARGATE,33063,FL
100328,Monarch High School,5050 WILES RD,COCONUT CREEK,33073,FL
100330,Dixie County High School,16077 NE 19HWY BLDG,CROSS CITY,32628,FL
100332,Coral Glades High School,M,CORAL SPRINGS,33065,FL
100344,William T McFatter Technical High School,6500 NOVA DR,DAVIE,33317,FL
100347,NSU University School,,,,FL
100355,Mainland High School,1255 W INTERNATIONAL SPEEDWAY,DAYTONA BEACH,32114,FL
100380,Deerfield Beach High School,910 SW 15TH ST,DEERFIELD BEACH,33441,FL
100413,Divine Savior Academy,,,,FL
100426,American Heritage School Boca-Delray,,,,FL
100436,Lake Region High School,1995 THUNDER RD,EAGLE LAKE,33839,FL
100440,Satellite High School,300 SCORPION CT,SATELLITE BEACH,32937,FL
100445,Eustis High School,1300 E WASHINGTON AVE,EUSTIS,32726,FL
100466,Lake Brantley High School,991 SAND LAKE RD,ALTAMONTE SPRINGS,32714,FL
100475,Saint Thomas Aquinas High School,,,,FL
100476,Western High School,1200 SW 136TH AVE,DAVIE,33325,FL
100478,Hollywood Hills High School,5400 STIRLING RD,HOLLYWOOD,33021,FL
100479,Boyd H Anderson High School,3050 NW 41ST ST,LAUDERDALE LAKES,33309,FL
100480,Dillard High School,2501 NW 11TH ST,FORT LAUDERDALE,33311,FL
100490,Fort Lauderdale High School,1600 NE 4TH AVE,FORT LAUDERDALE,33305,FL
100492,Westminster Academy,,,,FL
100494,Northeast High School,700 NE 56TH ST,OAKLAND PARK,33334,FL
100495,Pine Crest School,,,,FL
100496,Nova High School,3600 COLLEGE AVE,DAVIE,33314,FL
100497,Plantation High School,6901 NW 16TH ST,PLANTATION,33313,FL
100498,Stranahan High School,1800 SW 5TH PL,FORT LAUDERDALE,33312,FL
100508,Bishop Verot High School,,,,FL
100509,Cypress Lake High School,6750 PANTHER LN,FORT MYERS,33919,FL
100515,Fort Myers High School,2635 CORTEZ BLVD,FORT MYERS,33901,FL
100521,Fort Pierce Westwood High School,1801 PANTHER LN,FORT PIERCE,34947,FL
100538,Freeport High School,12615 US HIGHWAY 331 S,FREEPORT,32439,FL
