School Name,School Code
Los Angeles Senior High School,51680
North Hollywood High School,52145
San Fernando High School,52905
San Pedro High School,53195
Sylmar High School,52908
William Howard Taft High School,53806
Van Nuys High School,53635
Verdugo Hills High School,53545
Palisades Charter High School,52327
Downtown Magnets High School,51576
Los Angeles Center For Enriched Studies,51561
Alliance Gertz-Ressler High School,53983
Orthopaedic Hospital Magnet High School,51811
Alliance Judy Ivie Burton Technology Academy High School,54088
Central City Value High School,51764
Felicitas and Gonzalo Mendez High School,54381
ALLIANCE CINDY & BILL SIMON TECH ACADEMY HIGH SCHL,51804
Synergy Quantum Academy,54531
Critical Design And Gaming School at A Hawkins High School,54632
Math And Science College Preparatory,54767
Girls Academic Leadership Academy,50309
Los Gatos High School,51855
Saratoga High School,53343
Rancho-Starbuck Intermediate School,59858
Arroyo Grande High School,50150
Lynwood High School,51885
Manteca High School,51900
South Sutter Charter School,54112
Alhambra High School,51915
Milpitas High School,51978
Atwater High School,50172
Livingston High School,51430
Merced High School,51963
Buhach Colony High School,50181
California Connections Academy - North Bay,54786
Modesto High School,51985
James Enochs High School,54043
Monrovia High School,52015
Valley View High School,52057
Live Oak High School,52060
Compass Charter Schools of San Diego,54738
Los Altos High School,51510
Mountain View High School,52075
College Park High School,50659
Vintage High School,52088
Nevada Union High School,51095
Bear River High School,51092
James Logan High School,50969
Corona Del Mar High School,52128
Newport Harbor High School,52130
La Mirada High School,51352
Norwalk High School,52167
Oak Park High School,50006
Oakland High School,52225
Skyline High School,52238
American Indian Public High School,54176
El Camino High School,52248
Canyon High School,52267
El Modena High School,52276
Villa Park High School,52279
Adolfo Camarillo High School,50438
Oxnard High School,52305
Pacifica High School,52379
Rancho Campana High School,54851
Pacific Grove High School,52310
Palm Springs High School,52320
Henry M Gunn High School,52347
Palo Alto Senior High School,52350
Palos Verdes Peninsula High School,52683
Palos Verdes High School,52358
Paramount High School,52365
Perris High School,52440
Paloma Valley High School,51907
Casa Grande High School,52448
Petaluma High School,52460
Piedmont High School,52462
Esperanza High School,50093
Valencia High School,52480
Yorba Linda High School,54321
Mt Carmel High School,52862
Poway High School,52533
Rancho Bernardo High School,52536
Westview High School,52986
Del Norte High School,54351
Red Bluff High School,52575
Redlands High School,52590
Citrus Valley High School,54331
Wilmer Amina Carter High School,53855
El Cerrito High School,50815
Hercules High School,51206
Connections Academy - Ripon,54643
Ramona High School,52670
Martin Luther King High School,52567
Roseville High School,52690
John A Rowland High School,52696
El Toro High School,51974
Laguna Hills High School,51369
Trabuco Hills High School,51958
Salinas High School,52755
Scripps Ranch High School,52834
Patrick Henry High School,52867
La Jolla High School,51335
Mission Bay High School,52860
Morse High School,52881
University City High School,52887
Ofarrell Community Charter School,54629
E3 Civic High,54723
San Dieguito Academy,50865
Torrey Pines High School,50466
La Costa Canyon High School,50858
Canyon Crest Academy,50893
Abraham Lincoln High School,52910
Balboa High School,52916
Galileo Academy of Science and Technology,52945
George Washington High School,52950
Lowell High School,52970
Gabrielino High School,53062
San Jacinto High School,53070
Leland High School,53091
Pioneer High School,53096
Willow Glen High School,53105
Bella Vista High School,50912
Mesa Verde High School,50587
San Leandro High School,53120
Arroyo High School,53125
San Luis Obispo High School,53145
San Marino High School,53158
Aragon High School,53163
Burlingame High School,50410
Hillsdale High School,53165
Mills High School,51972
San Mateo High School,53175
San Rafael High School,53222
Terra Linda High School,53231
California High School,53229
Monte Vista High School,50727
San Ramon Valley High School,50725
Dougherty Valley High School,53218
Adrian C Wilcox High School,53276
Santa Clara High School,53280
Santa Cruz High School,53297
Carlmont High School,50270
Menlo Atherton High School,50170
Woodside High School,53808
Everest Public High School,54429
Enterprise High School,52580
Shasta High School,52585
Tomales High School,53510
Royal High School,53379
Simi Valley High School,53380
Santa Susana High School,53372
Silverado High School,53682
Soledad High School,53557
Sonoma Valley High School,53390
South Pasadena High School,53410
South San Francisco High School,53415
Eastlake High School,50579
Bonita Vista High School,50572
Castle Park High School,50573
Chula Vista Senior High School,50580
Mar Vista High School,51242
Montgomery High School,51239
Southwest High School,52892
Sweetwater High School,52105
Olympian High School,54072
Tahoe Truckee High School,53540
Sir Francis Drake High School,52770
Templeton High School,53500
South High School,53522
Vanden High School,53533
Foothill High School,53234
Tustin High School,53570
Arnold O Beckman High School,51267
Vaca High School,53595
Vallejo Senior High School,53610
MIT Academy,53833
Ventura High School,53655
Foothill Technical High School,53691
Mount Whitney High School,53670
Rancho Buena Vista High School,53668
Walnut High School,53676
Diamond Bar High School,50748
River City High School,53740
West Covina High School,53738
Santa Fe High School,53300
Valencia High School,53608
Canyon High School,53341
William S Hart High School,52120
Saugus High School,53336
Golden Valley High School,53871
West Ranch High School,53864
Mission View Public Charter School,54178
Irvine High School,51271
University High School,51984
Woodbridge High School,51274
Northwood High School,51283
Clayton Valley Charter High School,50658
Venture Academy,53941
University Preparatory Academy,54245
Pacific Collegiate School,53270
Rancho Verde High School,52056
Citrus Hill High School,53978
Orange Vista High School,50038
Saint Monica Catholic High School,53310
Saint John Bosco High School,50260
Saint Francis High School,51311
Chaminade College Preparatory,51565
Saint Ignatius College Preparatory School,53010
Bishop O'Dowd High School,52185
Saint Joseph-Notre Dame High School,50020
Saint Francis High School,52698
Saint Patrick-Saint Vincent High School,53604
Saint Augustine High School,52880
Lutheran High School Orange County,52269
Fremont Christian High School,50978
Monte Vista Christian High School,53705
Athenian School,50724
Developing Virtue Secondary School,53483
Convent Of Sacred Heart High School,697001
Saint Francis High School,52077
Bellarmine College Preparatory,53080
Southlands Christian High School,53681
Oakwood School,52146
Saint Margaret's Episcopal School,53112
California Connections Academy Central Coast,54092
Oakwood School,52042
Stuart Hall High School,53029
JSerra Catholic High School,53197
Maranatha High School,52686
San Domenico School,53205
Jewish Community High School of the Bay,52984
Kehillah Jewish High School,53173
School For Independent Learners,52209
Vistamar School,53973
Cathedral Catholic High School,52896
Stanford Online High School,54127
Xavier College Preparatory High School,54103
Rolling Hills Preparatory School,697001
High Bluff Academy,53036
Pacific Academy - Irvine,54554
Meira Academy,54720
Campbell Hall,52133
Bishop Alemany High School,52898
Milken Community High School,51727
Yeshiva University High School of Los Angeles - Girls Division,51843
Maranatha Christian Schools,54056
Laguna Blanca School,53255
Bright Horizon Academy - Allied Gardens Campus,51636
Quarry Lane School,50903
Sage Hill School,52124
Shalhevet High School,51792
Village Christian High School,53468
Fairmont Pvt-Preparatory Academy,50103
Harvard-Westlake School,52159
Rancho Christian High School,54418
Holy Family High School,60415
Kent Denver School,60530
Vail Mountain School,61384
The Pinnacle Charter School,61354
Pine Creek High School,60316
Discovery Canyon Campus High School,60244
Alamosa High School,60025
Rangeview High School,60077
Platte Canyon High School,60075
Bayfield High School,60085
Centaurus High School,60865
Fairview High School,60118
Nederland Middle Senior-High School,61055
Monarch High School,60130
Peak to Peak Charter School,60869
Canon City Senior High School,60200
Cherry Creek High School,60515
Overland High School,60076
Grandview High School,60081
Eaglecrest High School,60066
Coronado High School,60273
Doherty High School,60296
Cedaredge High School,60230
East High School,60400
North High School,60428
South High School,60455
DSST Byers High School,60485
Chaparral High School,61152
Mountain Vista High School,60747
Rock Canyon High School,60748
Legend High School,61159
SkyView Academy,60739
STEM School Highlands Ranch,60741
Durango High School,60475
Colorado Connections Academy at Durango,60219
Fort Collins High School,60590
Rocky Mountain High School,60588
Liberty Common High School,60607
Ridgeview Classical School,60598
Basalt High School,60080
Glenwood Springs High School,60665
Middle Park High School,60685
Grand Junction High School,60695
Grand Valley High School,60700
James Irwin Charter High School,60319
Arvada West High School,60057
Lakewood High School,60885
Warren Occupational Technical Center,60897
D'Evelyn Junior Senior High School,60671
Conifer High School,60311
Jefferson Academy Secondary School,60161
Arapahoe High School,60928
Heritage High School,60929
Longmont High School,60935
Niwot High School,60937
Silver Creek High School,60953
Erie High School,60545
Mead High School,60962
Berthoud High School,60095
Mountain View High School,60951
Olathe High School,61095
Lewis Palmer High School,61040
Centennial High School,61190
Pueblo County High School,61205
Steamboat Springs High School,61310
Telluride Middle High School,61350
Legacy High School,60163
Prospect Ridge Academy,60169
Custer County High School,61435
Woodland Park High School,61475
J K Mullen High School,60600
Dawson School,60867
Fountain Valley School,60275
Saint Mary's Academy High School,60535
Valor Christian High School,60749
Regis Jesuit High School: Boys Division,60435
Resurrection Christian School,60959
Northwest Catholic High School,70896
Immaculate High School,70125
Kent School,70330
Salisbury School,70655
Westover School,70395
The Hotchkiss School,70335
Brunswick School,70219
Greens Farms Academy,70915
Miss Porter's School,70210
Westminster School,70680
St Luke's School,70460
Avon Old Farms School,70010
Windham Technical High School,70935
Edwin O Smith High School,70754
Avon High School,70008
Berlin High School,70020
Central High School,70055
Information Technology & Software Engineering High School,70073
