school_id,school_code,SCHNAME,City,Zip,State
341467005676,311360,Scotch Plains-Fanwood High School,Scotch Plains,70762196,NJ
341485002900,311349,Secaucus High School,Secaucus,70944399,NJ
341494004100,311590,Shore Regional High School,W Long Branch,77641396,NJ
341521003610,310802,South Brunswick High School,Monmouth Jct,88522799,NJ
341533002422,310750,Columbia High School,Maplewood,70401396,NJ
341536003632,311400,South Plainfield High School,S Plainfield,70803699,NJ
341545002630,310403,Delsea Regional High School,Franklinville,83222537,NJ
341548004710,310743,Southern Regional 9-10 High School,Manahawkin,80503022,NJ
341551005396,311408,Sparta High School,Sparta,78713598,NJ
341554003660,311412,Spotswood High School,Spotswood,88841263,NJ
341563000213,311410,Jonathan Dayton High School,Springfield,70811701,NJ
341590005708,311420,Summit High School,Summit,79014799,NJ
341608000840,311450,Teaneck High School,Teaneck,76664798,NJ
341611000864,311455,Tenafly High School,Tenafly,76701698,NJ
341623004722,311458,Toms River High School North,Toms River,87534299,NJ
341623004724,311460,Toms River High School South,Toms River,87537499,NJ
341623005919,311457,Toms River High School East,Toms River,87534598,NJ
341638003059,311535,Union City High School,Union CIty,70872295,NJ
341647000557,310062,Barnegat High School,Barnegat,80052159,NJ
341671005422,311552,Vernon Township High School,Vernon,74620800,NJ
341674002448,311550,Verona High School,Verona,70441396,NJ
341680001902,311555,Vineland High School South,Vineland,83618499,NJ
341687005949,310400,Wallkill Valley Regional High School,Hamburg,74192328,NJ
341697005878,311570,Warren Hills Regional High School,Washington,78821000,NJ
341707002640,311364,Washington Township High School,Sewell,80802831,NJ
341722005320,311231,Watchung Hills Regional High School,Warren,70595799,NJ
341728004964,311573,Wayne Valley High School,Wayne,74703588,NJ
341728004966,311574,Wayne Hills High School,Wayne,74703283,NJ
341731002928,311575,Weehawken High School,Weehawken,70867099,NJ
341743002662,311638,West Deptford High School,Westville,80931742,NJ
341746002462,311579,West Essex Senior High School,N Caldwell,70064792,NJ
341750006095,310694,High Technology High School,Lincroft,77381543,NJ
341750006121,310904,Biotechnology High School,Freehold,77284300,NJ
341752004996,311593,West Milford Township High School,West Milford,74801598,NJ
341755004550,310227,West Morris Central High School,Chester,79302039,NJ
341755004552,310765,West Morris Mendham High School,Mendham,79451599,NJ
341761002468,311613,West Orange High School,West Orange,70522887,NJ
341770000191,311232,W Windsor-Plainsboro Hs-North,Plainsboro,85363109,NJ
341770003258,311277,W Windsor-Plainsboro Hs-South,Princeton Jct,85501599,NJ
341776005764,311585,Westfield High School,Westfield,70903399,NJ
341782000906,311615,Westwood Regional Junior-Senior High School,Township Of Washington,76764811,NJ
341804006134,311381,Union County Academy For Information Technology,Scotch Plains,70762928,NJ
341806000437,310012,Winslow Township High School,Atco,80042619,NJ
341812003668,310251,Colonia High School,Colonia,70672299,NJ
341812003670,310581,John F Kennedy Memorial High School,Iselin,88302370,NJ
341812003672,311625,Woodbridge High School,Woodbridge,70953189,NJ
341815002688,311635,Woodbury Junior-Senior High School,Woodbury,80964676,NJ
341830000922,311640,Wood-Ridge High School,Wood Ridge,70751298,NJ
350001000954,320537,Rio Rancho Cyber Academy,Rio Rancho,871241059,NM
350006000044,320008,Del Norte High School,Albuquerque,871091300,NM
350006000063,320020,Highland High School,Albuquerque,871082896,NM
350006000106,320037,Sandia High School,Albuquerque,871103797,NM
350006000698,320038,La Cueva High School,Albuquerque,871222807,NM
350006001037,320119,Atrisco Heritage Academy High School,Albuquerque,871215498,NM
350016001096,320608,New Mexico Connections Academy,Santa Fe,875074936,NM
350123000344,320315,Hatch Valley High School,Hatch,87937,NM
350126000350,320325,Hobbs High School,Hobbs,882405399,NM
350150000386,320370,Las Cruces High School,Las Cruces,880016012,NM
350150000720,320373,Onate High School,Las Cruces,880116017,NM
350150001090,320383,Centennial High School,Las Cruces,880111706,NM
350165000431,320405,Los Alamos High School,Los Alamos,875442280,NM
350237000551,320630,Santa Fe High School,Santa Fe,875055498,NM
350237000841,320592,The Academy For Technology And The Classics,Santa Fe,875081465,NM
350252000583,320675,Taos High School,Taos,875716163,NM
360000500282,330520,Broadalbin-Perth High School,Broadalbin,120252195,NY
360001301199,334310,Oneida High School,Oneida,134212692,NY
360003804346,331087,Tapestry Charter High School,Buffalo,142163203,NY
360005404452,333836,KIPP NYC College Prep High School,Bronx,104515907,NY
360007600695,333608,East Side Community School,New York,100094019,NY
360007603680,334101,University Neighborhood High School,New York,100027304,NY
360007604873,333843,"New Explorations into Science, Technology and Math High School",New York,100021947,NY
360007700116,333674,High School for Environmental Studies,New York,100193602,NY
360007700584,333791,Manhattan Village Academy,New York,100105101,NY
360007700585,334110,Vanguard High School,New York,100656051,NY
360007700691,333817,High School for Health Professions and Human Services,New York,100034002,NY
360007700692,333819,High School for Leadership and Public Service,New York,100061866,NY
360007701297,334073,Talent Unlimited High School,New York,100656005,NY
360007701949,333680,High School of Fashion Industries,New York,100111794,NY
360007702034,333835,Murry Bergtraum High School,New York,100381432,NY
360007702857,333853,New York City Laboratory School for Collaborative Studies,New York,100115001,NY
360007702862,333592,School Of The Future High School,New York,100105403,NY
360007702877,334070,Stuyvesant High School,New York,102821000,NY
360007702914,333704,Humanities Preparatory Academy,New York,100114498,NY
360007704729,333916,Richard R Green High School of Teaching,New York,100042308,NY
360007704778,333787,Manhattan Comprehensive Night and Day High School,New York,100032704,NY
360007705084,333648,Eleanor Roosevelt High School,New York,100212560,NY
360007705500,333783,Manhattan Bridges High School,New York,100197002,NY
360007705566,333711,Independence High School,New York,100192909,NY
360007705624,333692,High School of Hospitality Management,New York,100197002,NY
360007706125,333894,Quest To Learn,New York,100114402,NY
360007706251,333814,Urban Assembly Gateway School For Technology,New York,100197235,NY
360007706363,333428,Academy For Software Engineering,New York,100032305,NY
360007804458,333685,Fiorello H Laguardia High School,New York,100236406,NY
360007805113,333796,"Martin Luther King Jr High School For Law, Advocacy Community Justice",New York,100236407,NY
360007900638,332964,Central Park East High School,New York,100293819,NY
360007904518,333784,Manhattan Center for Science and Math,New York,100291706,NY
360008100701,333643,Frederick Douglass Academy,NEW YORK,100392619,NY
360008105116,333691,High School for Math Science and Engineering at City College of New York,New York,100319130,NY
360008105944,333907,Columbia Secondary School,New York,100275002,NY
360008301265,333749,Gregorio Luperon High School,New York,100324206,NY
360008305784,332929,MS 293 City College Academy of the Arts,New York,100402102,NY
360008405521,331134,Laboratory School of Finance and Technology Middle School/High School 223,Bronx,104541078,NY
360008405650,330668,South Bronx Preparatory,Bronx,104541078,NY
360008501964,330533,Herbert H Lehman High School,Bronx,104615767,NY
360008505186,330905,Gotham Collaborative High School,Bronx,104732525,NY
360008505654,330503,Millennium Art Academy,Bronx,104732525,NY
360008506258,330483,Bronx Arena High School,Bronx,104734909,NY
360008506388,331136,Bronx River High School,Bronx,104615704,NY
360008605693,330491,Morris Academy For Collaborative Studies,Bronx,104565375,NY
360008605794,330821,Bronx Center for Science and Mathematics,Bronx,104562403,NY
360008606345,330024,Young Women's Leadership School of the Bronx,Bronx,104536251,NY
360008701922,333480,Bronx High School of Science,Bronx,104681098,NY
360008704473,330649,In-Tech Academy Middle High School 368,Bronx,104633817,NY
360008705182,330584,Belmont Preparatory High School,Bronx,104585048,NY
360008705676,330763,Bronx Engineering and Technology Academy,Bronx,104635079,NY
360008705796,330838,Theatre Arts Production County School,Bronx,104572439,NY
360008705799,330981,Kingsbridge International High School,Bronx,104682702,NY
360008706396,331143,Bronx Academy For Software Engineering,Bronx,104586402,NY
360008801963,330531,Harry S Truman High School,Bronx,104751799,NY
360008805568,330606,Bronx Aerospace High School,Bronx,104676110,NY
360008805685,330676,Collegiate Institute For Math And Science,Bronx,104694901,NY
360008805687,330508,Astor Collegiate Academy,Bronx,104694901,NY
360009001332,330516,Wings Academy,Bronx,104602303,NY
360009005792,330721,Explorations Academy,Bronx,104604945,NY
360009005805,330482,Mott Hall V School,Bronx,104722141,NY
360009006275,330472,Bronx Envision Academy,Bronx,104604945,NY
360009100867,330878,Science Skills Center High School as Water's Edge,Brooklyn,112012905,NY
360009101928,330630,Brooklyn Technical High School,Brooklyn,112171299,NY
360009102315,330582,Benjamin Banneker Academy,Brooklyn,112052302,NY
360009105508,330643,Bedford Academy High School,Brooklyn,112161302,NY
360009206292,331079,Millennium Brooklyn High School,Brooklyn,112153405,NY
360009401921,330595,Boys and Girls High School,Brooklyn,112131299,NY
360009406122,331078,Brooklyn Academy Global Finance,Brooklyn,112211909,NY
360009500882,330759,Medgar Evers College Preparatory School,Brooklyn,112252201,NY
360009501937,330655,Clara Barton High School,Brooklyn,112251098,NY
360009505523,330628,Brooklyn High School for Science and the Environment,Brooklyn,112251005,NY
360009505709,330909,School for Human Rights,Brooklyn,112031704,NY
360009605964,330957,It Takes a Village Academy,Brooklyn,112034824,NY
360009606009,330951,Olympus Academy,Brooklyn,112362633,NY
360009606052,331034,Urban Action Academy,Brooklyn,112364318,NY
360009606054,331056,Academy for Conservation and the Environment,Brooklyn,112363525,NY
360009606059,331037,High School for Innovation in Advertising and Media,Brooklyn,112364318,NY
360009705537,330642,All City Leadership Secondary School,Brooklyn,112375901,NY
360009705562,330644,Bushwick Leaders High School for Academic Excellence,Brooklyn,112213114,NY
360009801791,332902,Robert F Wagner Jr Secondary School for Arts And Technology,Long Island City,111013105,NY
360009801959,330735,Grover Cleveland High School,Ridgewood,113851299,NY
360009806084,332909,Pan American International High School,Elmhurst,113732824,NY
360009901917,330355,Bayside High School,Bayside,113611095,NY
360009901919,330357,Benjamin Cardozo High School,Oakland Gardens,113641936,NY
360009901953,331926,Francis Lewis High School,Fresh Meadows,113651591,NY
360009902030,334655,Martin Van Buren High School,Queens Vlg,114272697,NY
360009905536,331936,Queens High School Teaching Liberal Arts Sciences,Bellerose,114261800,NY
360009906468,331187,Business Technology Early College High School,Queens Village,114272628,NY
360010001414,332579,Queens Gateway Health and Sciences Secondary School,Jamaica,114321140,NY
360010001951,331935,Forest Hills High School,Forest Hills,113752378,NY
360010001965,332557,Hillcrest High School,Jamaica,114323496,NY
360010005832,332592,"Young Women's Leadership School, Queens",Jamaica,114323311,NY
360010006005,332569,Queens Collegiate: A College Board School,Jamaica,114321935,NY
360010006174,332556,Hillside Arts and Letters Academy,Jamaica,114321935,NY
360010006209,331952,Queens Metropolitan High School,Flushing,113756671,NY
360010006283,334657,Jamaica Gateway To The Sciences,Jamaica,114321935,NY
360010101408,331169,Mathematics and Science Research Technology Magnet High School,Cambria Heights,114111038,NY
360010105733,335302,Excelsior Preparatory High School,Springfield Gardens,114133240,NY
360010105734,334896,George Washington Carver High School For The Sciences,Springfield Gardens,114133240,NY
360010105834,334857,Pathways College Preparatory School: A College Board School,Saint Albans,114121336,NY
360010106220,332421,Cambria Heights Academy,Hollis,114232520,NY
360010202887,332915,William C Bryant High School,Long Is City,111031397,NY
360010205511,332904,Information Technology High School,Long Is City,111015011,NY
