school_name,state_school_id,nces_id,course_id,course_name
Marshfield High,MA-0171-01710505,250735001142,10153,VISUAL BASIC Programming
Marshfield High,MA-0171-01710505,250735001142,10158,AP Computer Science A
Maynard High,MA-0174-01740505,250750001153,10155,JAVA Programming
Maynard High,MA-0174-01740505,250750001153,10205,Computer Gaming and Design
Medfield Senior High,MA-0175-01750505,250753001157,10158,AP Computer Science A
Medfield Senior High,MA-0175-01750505,250753001157,10205,Computer Gaming and Design
Medford High,MA-0176-01760505,250756001176,10152,Computer Programming
Medway High,MA-0177-01770505,250759001184,10019,AP Computer Science Principles
Medway High,MA-0177-01770505,250759001184,10152,Computer Programming
Melrose High,MA-0178-01780505,250762001193,10158,AP Computer Science A
Methuen High,MA-0181-01810505,250774001213,10012,Exploring Computer Science
Milford High,MA-0185-01850505,250786001239,10013,PLTW Introduction to Computer Science
Milford High,MA-0185-01850505,250786001239,10152,Computer Programming
Millbury Junior/Senior High,MA-0186-01860505,250789001249,10019,AP Computer Science Principles
Millbury Junior/Senior High,MA-0186-01860505,250789001249,10152,Computer Programming
Millbury Junior/Senior High,MA-0186-01860505,250789001249,10155,JAVA Programming
Millis High School,MA-0187-01870505,250792001255,10012,Exploring Computer Science
Millis High School,MA-0187-01870505,250792001255,10019,AP Computer Science Principles
Milton High,MA-0189-01890505,250798001262,10012,Exploring Computer Science
Milton High,MA-0189-01890505,250798001262,10019,AP Computer Science Principles
Milton High,MA-0189-01890505,250798001262,10156,Computer Programming-Other Language
Milton High,MA-0189-01890505,250798001262,10158,AP Computer Science A
Granite Valley Middle,MA-0191-01910310,250804001655,60027,PLTW Computer Science for Innovators and Makers
Monson High School,MA-0191-01910505,250804001269,10054,Data Systems/Processing
Nantucket High,MA-0197-01970505,250825001282,10011,Computer Science Principles
Natick High,MA-0198-01980505,250834001303,10155,JAVA Programming
Natick High,MA-0198-01980505,250834001303,10158,AP Computer Science A
Needham High,MA-0199-01990505,250837001315,10011,Computer Science Principles
Needham High,MA-0199-01990505,250837001315,10012,Exploring Computer Science
Needham High,MA-0199-01990505,250837001315,10205,Computer Gaming and Design
New Bedford High,MA-0201-02010505,250843001336,10152,Computer Programming
New Bedford High,MA-0201-02010505,250843001336,10158,AP Computer Science A
Newburyport High,MA-0204-02040505,250858001354,10152,Computer Programming
Newburyport High,MA-0204-02040505,250858001354,10158,AP Computer Science A
Newton North High,MA-0207-02070505,250861001374,10012,Exploring Computer Science
Newton North High,MA-0207-02070505,250861001374,10152,Computer Programming
Newton North High,MA-0207-02070505,250861001374,10155,JAVA Programming
Newton South High,MA-0207-02070510,250861001375,10152,Computer Programming
Newton South High,MA-0207-02070510,250861001375,10156,Computer Programming-Other Language
Newton South High,MA-0207-02070510,250861001375,10205,Computer Gaming and Design
Drury High,MA-0209-02090505,250867001387,10011,Computer Science Principles
Northampton High,MA-0210-02100505,250885001432,10158,AP Computer Science A
North Andover High,MA-0211-02110505,250870001397,10011,Computer Science Principles
North Attleboro High,MA-0212-02120505,250873001405,10019,AP Computer Science Principles
North Attleboro High,MA-0212-02120505,250873001405,10153,VISUAL BASIC Programming
Northbridge High,MA-0214-02140505,250894001445,10152,Computer Programming
Northbridge High,MA-0214-02140505,250894001445,10155,JAVA Programming
Northbridge High,MA-0214-02140505,250894001445,10158,AP Computer Science A
North Reading High,MA-0217-02170505,250882001422,10152,Computer Programming
North Reading High,MA-0217-02170505,250882001422,10158,AP Computer Science A
Norton High,MA-0218-02180505,250900001451,10152,Computer Programming
Norton High,MA-0218-02180505,250900001451,10155,JAVA Programming
Norton High,MA-0218-02180505,250900001451,10156,Computer Programming-Other Language
Norwell High,MA-0219-02190505,250903001455,10011,Computer Science Principles
Norwell High,MA-0219-02190505,250903001455,10019,AP Computer Science Principles
Norwood High,MA-0220-02200505,250906001466,10152,Computer Programming
Norwood High,MA-0220-02200505,250906001466,10158,AP Computer Science A
Oxford High,MA-0226-02260505,250927001482,10158,AP Computer Science A
Peabody Veterans Memorial High,MA-0229-02290510,250936001504,10153,VISUAL BASIC Programming
Peabody Veterans Memorial High,MA-0229-02290510,250936001504,10155,JAVA Programming
Peabody Veterans Memorial High,MA-0229-02290510,250936001504,10158,AP Computer Science A
Pembroke High School,MA-0231-02310505,250942001824,10012,Exploring Computer Science
Pembroke High School,MA-0231-02310505,250942001824,10019,AP Computer Science Principles
Pembroke High School,MA-0231-02310505,250942001824,10158,AP Computer Science A
Pittsfield High,MA-0236-02360505,250963001526,10152,Computer Programming
Taconic High,MA-0236-02360510,250963001534,10152,Computer Programming
Taconic High,MA-0236-02360510,250963001534,10158,AP Computer Science A
Plymouth North High,MA-0239-02390505,250972000320,10152,Computer Programming
Plymouth North High,MA-0239-02390505,250972000320,10156,Computer Programming-Other Language
Plymouth North High,MA-0239-02390505,250972000320,10158,AP Computer Science A
Plymouth South High,MA-0239-02390515,250972000325,10158,AP Computer Science A
Quincy High,MA-0243-02430505,250987001579,10158,AP Computer Science A
North Quincy High,MA-0243-02430510,250987001577,10152,Computer Programming
North Quincy High,MA-0243-02430510,250987001577,10155,JAVA Programming
North Quincy High,MA-0243-02430510,250987001577,10158,AP Computer Science A
Reading Memorial High,MA-0246-02460505,250999001611,10019,AP Computer Science Principles
Reading Memorial High,MA-0246-02460505,250999001611,10158,AP Computer Science A
Garfield Middle School,MA-0248-02480057,251005001976,60026,PLTW App Creators
Garfield Middle School,MA-0248-02480057,251005001976,60027,PLTW Computer Science for Innovators and Makers
Susan B. Anthony Middle School,MA-0248-02480305,251005002113,60026,PLTW App Creators
Revere High,MA-0248-02480505,251005001630,10011,Computer Science Principles
Revere High,MA-0248-02480505,251005001630,10012,Exploring Computer Science
Revere High,MA-0248-02480505,251005001630,10019,AP Computer Science Principles
Revere High,MA-0248-02480505,251005001630,10152,Computer Programming
Revere High,MA-0248-02480505,251005001630,10158,AP Computer Science A
Seacoast School,MA-0248-02480520,251005001659,10012,Exploring Computer Science
Seacoast School,MA-0248-02480520,251005001659,10152,Computer Programming
Rockland Senior High,MA-0251-02510505,251017001643,10054,Data Systems/Processing
Rockland Senior High,MA-0251-02510505,251017001643,10158,AP Computer Science A
Salem High,MA-0258-02580505,251038001664,10152,Computer Programming
Sandwich High,MA-0261-02610505,251047001673,10152,Computer Programming
Sandwich High,MA-0261-02610505,251047001673,10158,AP Computer Science A
Saugus High,MA-0262-02620505,251050001684,10155,JAVA Programming
Saugus High,MA-0262-02620505,251050001684,10158,AP Computer Science A
Scituate High School,MA-0264-02640505,251056001693,10152,Computer Programming
Scituate High School,MA-0264-02640505,251056001693,10158,AP Computer Science A
Scituate High School,MA-0264-02640505,251056001693,10205,Computer Gaming and Design
Seekonk High,MA-0265-02650505,251059001699,10153,VISUAL BASIC Programming
Sharon High,MA-0266-02660505,251062001705,10012,Exploring Computer Science
Sharon High,MA-0266-02660505,251062001705,10019,AP Computer Science Principles
Sharon High,MA-0266-02660505,251062001705,10156,Computer Programming-Other Language
Sharon High,MA-0266-02660505,251062001705,10158,AP Computer Science A
Shrewsbury Sr High,MA-0271-02710505,251077001717,10155,JAVA Programming
Shrewsbury Sr High,MA-0271-02710505,251077001717,10158,AP Computer Science A
Somerville High,MA-0274-02740505,251089001745,10012,Exploring Computer Science
Somerville High,MA-0274-02740505,251089001745,10155,JAVA Programming
Somerville High,MA-0274-02740505,251089001745,10158,AP Computer Science A
Southbridge High School,MA-0277-02770515,251101002868,10011,Computer Science Principles
Southbridge High School,MA-0277-02770515,251101002868,10156,Computer Programming-Other Language
John J Duggan Middle,MA-0281-02810320,251113002599,10012,Exploring Computer Science
John J Duggan Middle,MA-0281-02810320,251113002599,10019,AP Computer Science Principles
Springfield Central High,MA-0281-02810500,251113002444,10012,Exploring Computer Science
Springfield Central High,MA-0281-02810500,251113002444,10019,AP Computer Science Principles
Springfield Central High,MA-0281-02810500,251113002444,10155,JAVA Programming
Springfield High School of Science and Technology,MA-0281-02810530,251113000901,10012,Exploring Computer Science
Springfield High School of Science and Technology,MA-0281-02810530,251113000901,10158,AP Computer Science A
Roger L. Putnam Vocational Technical Academy,MA-0281-02810620,251113002293,10013,PLTW Introduction to Computer Science
Roger L. Putnam Vocational Technical Academy,MA-0281-02810620,251113002293,10019,AP Computer Science Principles
Stoneham High,MA-0284-02840505,251122002295,10019,AP Computer Science Principles
Stoneham High,MA-0284-02840505,251122002295,10152,Computer Programming
Stoneham High,MA-0284-02840505,251122002295,10158,AP Computer Science A
Stoughton High,MA-0285-02850505,251125001864,10152,Computer Programming
Stoughton High,MA-0285-02850505,251125001864,10158,AP Computer Science A
Sutton High School,MA-0290-02900510,251140001414,10152,Computer Programming
Swampscott High,MA-0291-02910505,251143001887,10011,Computer Science Principles
Swampscott High,MA-0291-02910505,251143001887,10155,JAVA Programming
Joseph Case High,MA-0292-02920505,251146001893,10152,Computer Programming
Joseph Case High,MA-0292-02920505,251146001893,10155,JAVA Programming
Joseph Case High,MA-0292-02920505,251146001893,10158,AP Computer Science A
Taunton High,MA-0293-02930505,251152001915,10151,Business Programming
Taunton High,MA-0293-02930505,251152001915,10152,Computer Programming
Taunton High,MA-0293-02930505,251152001915,10158,AP Computer Science A
Tewksbury Memorial High,MA-0295-02950505,251158001926,10153,VISUAL BASIC Programming
Tewksbury Memorial High,MA-0295-02950505,251158001926,10205,Computer Gaming and Design
Tyngsborough High School,MA-0301-03010505,251176001934,10152,Computer Programming
Tyngsborough High School,MA-0301-03010505,251176001934,10158,AP Computer Science A
Wakefield Memorial High,MA-0305-03050505,251191001951,10158,AP Computer Science A
Walpole High,MA-0307-03070505,251197001964,10153,VISUAL BASIC Programming
Walpole High,MA-0307-03070505,251197001964,10158,AP Computer Science A
Waltham Sr High,MA-0308-03080505,251200001979,10012,Exploring Computer Science
Waltham Sr High,MA-0308-03080505,251200001979,10158,AP Computer Science A
Ware Junior/Senior High School,MA-0309-03090505,251203001983,10152,Computer Programming
Wareham Senior High,MA-0310-03100505,251206001991,10011,Computer Science Principles
Wareham Senior High,MA-0310-03100505,251206001991,10012,Exploring Computer Science
Wareham Senior High,MA-0310-03100505,251206001991,10158,AP Computer Science A
Wareham Senior High,MA-0310-03100505,251206001991,10205,Computer Gaming and Design
