Name,Rank,Year,Company Founding Year,Company Name,Company Relationship,Company Sector,Company Type,Age,Gender,Citizenship,Country of Residence,Region,Type Of Wealth,Net Worth In Billions,Wealth Category,Wealth Industry,Wealth Inherited
Francisco Ivens de Sa Dias Branco,367,2014,1927,M. Dias Branco S.A.,relation,food production,new,77,male,Brazil,BRA,Latin America,executive,4.1,Traded Sectors,Consumer,not inherited
Ingvar Kamprad,367,2014,1943,IKEA,founder,furniture,new,87,male,Sweden,SWE,Europe,founder non-finance,4.1,Non-Traded Sectors,"Retail, Restaurant",not inherited
Nancy Walton Laurie,367,2014,1962,Walmart,relation, retail, new,62,female,United States,USA,North America,inherited,4.1,Non-Traded Sectors,"Retail, Restaurant",father
Shahid Khan,367,2014,1956,Flex-N-Gate,owner,auto parts,aquired,63,male,United States,USA,North America,executive,4.1,Traded Sectors,Consumer,not inherited
Hope Hill Van Beuren,368,1996,1869,Campbell Soup,relation,soup,aquired,35,female,United States,USA,North America,inherited,1.1,Traded Sectors,Consumer,3rd generation
Charlotte Colket Weber,369,1996,1869,Campbell Soup,relation,soup,aquired,35,female,United States,USA,North America,inherited,1.1,Traded Sectors,Consumer,3rd generation
Evelyn Danzig Haas,370,1996,1853,Levi Strauss & co,relation,jeans,new,Unknown,female,United States,USA,North America,inherited,1.1,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Ted Schwartz,371,1996,1973,APAC Customer Services,founder,outsourcing,new,Unknown,male,United States,USA,North America,founder non-finance,1.1,Non-Traded Sectors,Media,not inherited
William Ford,372,1996,1903,Ford Motor Company,relation,automobiles,new,Unknown,male,United States,USA,North America,inherited,1.1,Traded Sectors,Consumer,3rd generation
Richard Rainwater,373,1996,1986,ENSCO International,founder,hedge funds,new,51,male,United States,USA,North America,self-made finance,1.1,Financial,Real Estate,not inherited
Michael Dell,374,1996,1984,Dell,founder,technology,new,31,male,United States,USA,North America,founder non-finance,1.1,New Sectors,Technology-Computer,not inherited
Reese Rowling,375,1996,1980,Tana Exploration Company,founder,oil,new,Unknown,male,United States,USA,North America,privatized and resources,1.1,Resource Related,Energy,not inherited
Arkady Rotenberg,375,2014,1930,"SGM Group, Mostotrest, TPS Avia",owner,construction,"new, privitization",62,male,Russia,RUS,Europe,privatized and resources,4,Non-Traded Sectors,Constrution,not inherited
Bertil Hult,375,2014,1977,EF Education,founder,"education, language schools",new,73,male,Sweden,SWE,Europe,founder non-finance,4,0,Other,not inherited
Chairul Tanjung,375,2014,1987,Para Group (aka CT Corp),founder,investment banking,new,51,male,Indonesia,IDN,East Asia,privatized and resources,4,Financial,Diversified financial,not inherited
Curt Engelhorn,375,2014,1865,BASF/Boehringer Mannheim/DePuy,relation,pharmaceuticals,new,87,male,Germany,DEU,Europe,inherited,4,New Sectors,Technology-Medical,4th generation
David & Frederick Barclay,375,2014,1968,Press Holdings,founder,media,new,80,male,United Kingdom,GBR,Europe,founder non-finance,4,Non-Traded Sectors,Media,not inherited
Erich Kellerhals,375,2014,1963,Media Markt,founder,retail,new,75,male,Germany,DEU,Europe,founder non-finance,4,Non-Traded Sectors,"Retail, Restaurant",not inherited
Gustaf Douglas,375,2014,1984,Investment AB Latour,founder,security ,new,76,male,Sweden,SWE,Europe,founder non-finance,4,0,Other,not inherited
Gustavo Cisneros,375,2014,1929,Cisneros Group,relation,media,new,68,male,Venezuela,VEN,Latin America,inherited,4,Non-Traded Sectors,Media,father
John Morris,375,2014,1972,Bass Pro Shops,founder,sports retail,new,65,male,United States,USA,North America,founder non-finance,4,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lars Larsen,375,2014,1979,JYSK,founder and CEO,retail,new,65,male,Denmark,DEN,Europe,founder non-finance,4,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lei Jun,375,2014,2010,Xiaomi Tech,founder,technology,new,44,male,China,CHN,East Asia,founder non-finance,4,Traded Sectors,Consumer,not inherited
Randal Kirk,375,2014,1984,General Injectables and Vaccines/Third Security LLC,founder,biotech investing,new,60,male,United States,USA,North America,founder non-finance,4,New Sectors,Technology-Medical,not inherited
Wang Wei,375,2014,1993,S.F. Express,founder,express delivery services,new,Unknown,male,China,CHN,East Asia,founder non-finance,4,Non-Traded Sectors,"Retail, Restaurant",not inherited
Curtis LeRoy Carlson,376,1996,1938,Carlson,founder,hospitality,new,Unknown,male,United States,USA,North America,founder non-finance,1.1,Non-Traded Sectors,"Retail, Restaurant",not inherited
Charles Schwab,377,1996,1971,Charles Schwab Corporation,founder,brokerage/banking,new,58,male,United States,USA,North America,self-made finance,1.1,Financial,Money Management,not inherited
Eli Broad,378,1996,1957,"Kaufman and Broad, SunAmerica",founder,construction/insurance,new/aquired,62,male,United States,USA,North America,self-made finance,1.1,Financial,Money Management,not inherited
Carl Lindner Jr,379,1996,1959,American Financial Group,founder,banking,new,76,male,United States,USA,North America,founder non-finance,1.1,0,0,not inherited
Thomas Frist,380,1996,1968,Hostpital Corporation of America,founder/relation,hospitals,new,57,male,United States,USA,North America,founder non-finance,1.1,New Sectors,Technology-Medical,not inherited
Charles Gates Jr,381,1996,1911,Gates Rubber Company,relation,tires,aquired,74,male,United States,USA,North America,inherited,1.1,Resource Related,Mining and metals,father
Gustavo Cisneros,382,1996,1929,Cisneros Group,relation,media,new,50,male,Venezuela,VEN,Latin America,inherited,1.1,Non-Traded Sectors,Media,father
Ahmed Ali Kanoo,383,1996,1890,YBA Kanoo,relation,shipping,new,Unknown,male,Bahrain,BHR,Middle East/North Africa,inherited,1,Traded Sectors,Consumer,3rd generation
Larragoiti family,384,1996,1895,SulAmerica Seguros,Unknown,insurance,new,Unknown,Unknown,Brazil,BRA,Latin America,inherited,1,Financial,Hedge funds,not inherited
Norberto Odebrecht,385,1996,1944,Odebrecht Group,founder,construction,new,Unknown,male,Brazil,BRA,Latin America,founder non-finance,1,Non-Traded Sectors,Constrution,not inherited
Gerard Louis-Dreyfus,386,1996,1851,Louis Dreyfus Group,relation,energy,new,63,male,France,FRA,Europe,inherited,1,Financial,Money Management,4th generation
Nathaniel Rothschild,387,1996,1811,UnknownN M Rothschild & Sons,relation,banking,new,Unknown,male,United Kingdom,GBR,Europe,inherited,1,Financial,Money Management,5th generation or longer
Alfredo Harp Helu,387,2001,1884,Banamex,owner,banking,aquired,57,male,Mexico,MEX,Latin America,self-made finance,1.3,Financial,Money Management,not inherited
Andronico Luksic,387,2001,1888,Antofagasta,founder,copper,aquired,74,male,Chile,CHL,Latin America,privatized and resources,1.3,Resource Related,Mining and metals,not inherited
Anthony Bamford,387,2001,1945,JCB,relation,"heavy equiptment (excavators, backhoes and tractors)",new,55,male,United Kingdom,GBR,Europe,inherited,1.3,Non-Traded Sectors,Constrution,father
Arthur Williams Jr,387,2001,1977,A.L. Williams & Associates,founder,life insurance ,new,58,male,United States,USA,North America,self-made finance,1.3,Financial,Hedge funds,not inherited
Arturo Moreno,387,2001,1947,Outdoor Systems,CEO,advertising,new,54,male,United States,USA,North America,self-made finance,1.3,Financial,Real Estate,not inherited
Bradley Hughes,387,2001,1972,Public Storage,founder,self-storage,new,67,male,United States,USA,North America,founder non-finance,1.3,Non-Traded Sectors,"Retail, Restaurant",not inherited
Calisto Tanzi,387,2001,1961,Parmalat,founder,dairy,new,Unknown,male,Italy,ITA,Europe,founder non-finance,1.3,Traded Sectors,Consumer,not inherited
Carlo De Benedetti,387,2001,1976,CIR Group,relation,media,aquired,Unknown,male,Italy,ITA,Europe,inherited,1.3,Non-Traded Sectors,Media,father
Charles Munger,387,2001,1962,Berkshire Hathaway,vice-chairman, Finance,new,76,male,United States,USA,North America,executive,1.3,Traded Sectors,Consumer,not inherited
Donald Sturm,387,2001,1884,Peter Kiewit Sons,owner,investments,new,Unknown,male,United States,USA,North America,self-made finance,1.3,Financial,Money Management,not inherited
Eliodoro Matte,387,2001,1920,CMPC,relation,timber and paper,new,55,male,Chile,CHL,Latin America,inherited,1.3,Traded Sectors,Consumer,father
Francesco Micheli,387,2001,1999,e.Biscom-Fastweb,chairman,new technology,new,Unknown,male,Italy,ITA,Europe,self-made finance,1.3,Financial,Money Management,not inherited
Germain Lamonde,387,2001,1985,EXFO,founder,service assurance instruments,new,Unknown,male,Canada,CAN,North America,founder non-finance,1.3,Non-Traded Sectors,Media,not inherited
Haim Saban,387,2001,1988,Saban Entertainment,founder,media,new,56,male,United States,USA,North America,founder non-finance,1.3,Non-Traded Sectors,Media,not inherited
Hans-Werner Hector,387,2001,1972,SAP AG,founder,software,new,61,male,Germany,DEU,Europe,founder non-finance,1.3,New Sectors,Technology-Computer,not inherited
Henry Sy,387,2001,1960,SM Malls,founder,retail,new,76,male,Philippines,PHL,East Asia,founder non-finance,1.3,Non-Traded Sectors,"Retail, Restaurant",not inherited
Isaac Saba Raffoul,387,2001,1892,Groupo Casa Saba,founder,pharmaceuticals,aquired,77,male,Mexico,MEX,Latin America,self-made finance,1.3,Financial,Diversified financial,not inherited
James Moran,387,2001,1968,JM Family Enterprises,founder,auto dealerships,new,82,male,United States,USA,North America,founder non-finance,1.3,Non-Traded Sectors,"Retail, Restaurant",not inherited
Johann Rupert,387,2001,1940,Rembrandt Group,relation,tobacco/luxury brands,new,50,male,South Africa,ZAF,Sub-Saharan Africa,inherited,1.3,Traded Sectors,Consumer,father
Kenneth Langone,387,2001,1979,Home Depot,founder,home improvement retail,new,65,male,United States,USA,North America,self-made finance,1.3,Financial,Money Management,not inherited
Mikhail Fridman,387,2001,1989,Alfa Group,founder,investment banking,new,36,male,Russia,RUS,Europe,privatized and resources,1.3,Resource Related,Energy,not inherited
Patrick Guerrand,387,2001,1837,Hermes,relation,luxury fashion,new,Unknown,male,France,FRA,Europe,inherited,1.3,0,Other,5th generation or longer
Pierce Marshall,387,2001,1870,Standard Oil,relation,oil,new,Unknown,male,United States,USA,North America,inherited,1.3,Resource Related,Energy,father
Putera Sampoerna,387,2001,1913,Sampoerna,relation,cigarette,new,Unknown,male,Indonesia,IDN,East Asia,inherited,1.3,Traded Sectors,Consumer,father
Richard Pratt,387,2001,1948,Visy Industries,relation,paper,new,66,male,Australia,AUS,North America,inherited,1.3,Traded Sectors,Consumer,father
Roberto Hernandez Ramirez,387,2001,1884,Banamex,former CEO,banking,aquired,Unknown,male,Mexico,MEX,Latin America,self-made finance,1.3,Financial,Money Management,not inherited
Rong Yiren,387,2001,1978,China International Trust and Investment Corp,founder,investment,new,Unknown,male,China,CHN,East Asia,privatized and resources,1.3,Financial,Money Management,not inherited
Saleh Al Rajhi,387,2001,1957,Al-Rajhi Bank,founder,banking,new,89,male,Saudi Arabia,SAU,Middle East/North Africa,self-made finance,1.3,Financial,Money Management,not inherited
Silvio Scaglia,387,2001,1999,Fastweb,founder,telecommunications,new,42,male,Italy,ITA,Europe,founder non-finance,1.3,Non-Traded Sectors,Media,not inherited
Steven Jobs,387,2001,1976,Apple,founder,technology,new,46,male,United States,USA,North America,founder non-finance,1.3,New Sectors,Technology-Computer,not inherited
Vagit Alekperov,387,2001,1990,Lukoil,founder,oil,new,50,male,Russia,RUS,Europe,privatized and resources,1.3,Resource Related,Energy,not inherited
Vincent Smith,387,2001,1992,Patrol Software North America,founder,software,new,Unknown,male,United States,USA,North America,founder non-finance,1.3,New Sectors,Technology-Computer,not inherited
Wallace McCain,387,2001,1956,McCain Foods Limited,founder,food,new,71,male,Canada,CAN,North America,founder non-finance,1.3,Traded Sectors,Consumer,not inherited
William Levine,387,2001,1947,Outdoor Systems,founder,advertising,new,Unknown,male,United States,USA,North America,founder non-finance,1.3,Non-Traded Sectors,Constrution,not inherited
Adolf Merckle,388,1996,1881,Ratiopharm,relation,pharmaceuticals,new,61,male,Germany,DEU,Europe,inherited,1,New Sectors,Technology-Medical,4th generation
Bernard (Barry) Sherman,388,2014,1959,Empire Laboratories,relation,pharmaceuticals,new,72,male,Canada,CAN,North America,inherited,3.9,New Sectors,Technology-Medical,father
Daniel Och,388,2014,1994,Och-Ziff Capital Management Group,"founder, chairman, ceo",hedge funds,new,53,male,United States,USA,North America,self-made finance,3.9,Financial,Hedge funds,not inherited
Donald Trump,388,2014,1920,The Trump Organization,relation,real estate,new,67,male,United States,USA,North America,inherited,3.9,Non-Traded Sectors,Media,father
Heinz-Georg Baus,388,2014,1960,Bauhaus,founder,home improvement retail,new,80,male,Germany,DEU,Europe,founder non-finance,3.9,Non-Traded Sectors,"Retail, Restaurant",not inherited
"John Gokongwei, Jr.",388,2014,1954,JG Summit Holdings,founder,"manufacturing, real estate, aviation",new,86,male,Philippines,PHL,East Asia,self-made finance,3.9,Financial,Diversified financial,not inherited
Martha Ingram,388,2014,1946,Ingram Industries,relation,transportation,new,78,female,United States,USA,North America,inherited,3.9,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Riley Bechtel,388,2014,1898,Bechtel Corporation,relation and chairman,construction,new,61,male,United States,USA,North America,inherited,3.9,Non-Traded Sectors,Constrution,4th generation
"Stephen Bechtel, Jr.",388,2014,1898,Bechtel Corporation,relation,construction,new,88,male,United States,USA,North America,inherited,3.9,Non-Traded Sectors,Constrution,4th generation
Strwher family,389,1996,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Germany,DEU,Europe,Unknown,1,Traded Sectors,Consumer,not inherited
Werhahn family,390,1996,1844,Wilh. Werhahn KG,Unknown,building materials,new,Unknown,Unknown,Germany,DEU,Europe,inherited,1,Non-Traded Sectors,Constrution,not inherited
Chao Kuang-Piu,391,1996,1960,Unknown,founder,wool,new,Unknown,male,Hong Kong,HKG,East Asia,founder non-finance,1,Traded Sectors,Consumer,not inherited
Shoul Eisenberg,392,1996,1968,Israel Corporation,founder,fertalizers,state owned enterprise,Unknown,male,Israel,ISR,Middle East/North Africa,privatized and resources,1,Financial,Diversified financial,not inherited
Sammy Ofer,393,1996,1950,Zodiac Maritime Agencies,relation,shipping,new,Unknown,male,Israel,ISR,Middle East/North Africa,inherited,1,Traded Sectors,Consumer,father
Otani Family,394,1996,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan,JPN,East Asia,Unknown,1,Financial,Real Estate,not inherited
Shoichiro Toyoda,395,1996,1937,Toyota Motors,relation,cars,new,Unknown,male,Japan,JPN,East Asia,inherited,1,Traded Sectors,Consumer,3rd generation
Junichi Murata,396,1996,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan,JPN,East Asia,Unknown,1,Traded Sectors,Non-consumer industrial,not inherited
Alain Merieux,396,2014,1897,Institut Merieux,relation,pharmaceuticals,new,76,male,France,FRA,Europe,inherited,3.8,New Sectors,Technology-Medical,3rd generation
Alexander Abramov,396,2014,1992,EvrazHolding,Chairman,steel ,aquired,55,male,Russia,RUS,Europe,privatized and resources,3.8,Resource Related,Non-consumer industrial,not inherited
Andreas von Bechtolsheim,396,2014,1982,Sun Microsystems,founder,microchips,new,58,male,Germany,DEU,Europe,founder non-finance,3.8,New Sectors,Technology-Computer,not inherited
Jeffrey Skoll,396,2014,1995,Ebay,president,e-commerce,new,49,male,United States,USA,North America,executive,3.8,New Sectors,Technology-Computer,not inherited
Mark Shoen,396,2014,1945,U-haul,relation,self storage,new,62,male,United States,USA,North America,inherited,3.8,Non-Traded Sectors,"Retail, Restaurant",father
Mitchell Rales,396,2014,1969,Danaher,founder,venture capitalist,new,57,male,United States,USA,North America,founder non-finance,3.8,Traded Sectors,Technology-Medical,not inherited
Odd Reitan,396,2014,1972,Reitan Group,founder,groceries,new,62,male,Norway,NOR,Europe,founder non-finance,3.8,Non-Traded Sectors,"Retail, Restaurant",not inherited
Peter Hargreaves,396,2014,1981,Hargreaves Lansdown,founder,financial services,new,67,male,United Kingdom,GBR,Europe,self-made finance,3.8,Financial,Money Management,not inherited
Steve Wynn,396,2014,1973,Wynn Resorts (formarly Mirage Resorts),founder,casinos,new,72,male,United States,USA,North America,self-made finance,3.8,Financial,Real Estate,not inherited
Uday Kotak,396,2014,1985,Kotak Mahindra Bank,founder,banking,new,54,male,India,IND,South Asia,self-made finance,3.8,Financial,Money Management,not inherited
Walter Faria,396,2014,1994,Grupo Petropolis,owner,beer,aquired,58,male,Brazil,BRA,Latin America,executive,3.8,Traded Sectors,Consumer,not inherited
William Koch,396,2014,1940,Koch industries,relation,  Oil refining,new,73,male,United States,USA,North America,inherited,3.8,Resource Related,Energy,father
Halim Saad,397,1996,0,Renong,Chairman and Chief Executive Officer,Unknown,Unknown,Unknown,male,Malaysia,MYS,East Asia,privatized and resources,1,Financial,Diversified financial,not inherited
Jeronimo Arango,398,1996,1958,Aurrera,founder,supermarkets,new,70,male,Mexico,MEX,Latin America,founder non-finance,1,Non-Traded Sectors,"Retail, Restaurant",not inherited
Ricardo Salinas Pliego,399,1996,1906,Grupo Salinas/Group Elektra,relation,telecommunications,new,40,male,Mexico,MEX,Latin America,inherited,1,Non-Traded Sectors,"Retail, Restaurant",4th generation
Autrey family,400,1996,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,MEX,Latin America,Unknown,1,Traded Sectors,Non-consumer industrial,not inherited
Ana Maria Brescia Cafferata,401,1996,1889,Grupo Prescia (now Pandora Group),relation,"mining, banking",new,Unknown,female,Peru,PER,Latin America,inherited,1,Resource Related,Mining and metals,father
Eugenio Lopez,402,1996,1961,Jumex,owner,drinks,new,Unknown,male,Philippines,PHL,East Asia,self-made finance,1,Financial,Diversified financial,not inherited
Saleh Kamel,403,1996,1969,Dallah al Baraka Group,founder,airport maintenance,new,54,male,Saudi Arabia,SAU,Middle East/North Africa,self-made finance,1,Financial,Money Management,not inherited
Abdul Aziz Al-Sulaiman,404,1996,1968,Rolaco Trading and Contracting Company,founder,construction,new,Unknown,male,Saudi Arabia,SAU,Middle East/North Africa,self-made finance,1,Financial,Money Management,not inherited
Alicia and Esther Koplowitz,405,1996,1952,Construcciones y Contratas,relation,construction,aquired,Unknown,female,Spain,ESP,Europe,inherited,1,Non-Traded Sectors,Constrution,father
Henri Andre,406,1996,1877,Andre & Cie,relation,grain,new,Unknown,male,Switzerland,CHE,Europe,inherited,1,Financial,Money Management,3rd generation
Eric Andre,407,1996,1877,Andre & Cie,relation,grain,new,Unknown,male,Switzerland,CHE,Europe,inherited,1,Financial,Money Management,3rd generation
Boonsong Asavabhokhin,408,1996,0,Unknown,Unknown,Unknown,Unknown,Unknown,male,Thailand,THA,East Asia,Unknown,1,Financial,Real Estate,not inherited
Aloys Wobben,408,2014,1984,Enercon,founder,wind energy,new,62,male,Germany,DEU,Europe,privatized and resources,3.7,Resource Related,Energy,not inherited
Axel Oberwelland,408,2014,1903,Storck,relation,candy,new,47,male,Germany,DEU,Europe,inherited,3.7,Traded Sectors,Consumer,4th generation
Charles Dolan,408,2014,1972,Cablevision and HBO,founder,media,new,87,male,United States,USA,North America,founder non-finance,3.7,Non-Traded Sectors,Media,not inherited
Daniel Gilbert,408,2014,1985,Quicken Loans,founder,real estate,new,52,male,United States,USA,North America,self-made finance,3.7,Financial,Money Management,not inherited
Gong Hongjia,408,2014,2001,Hikvision,owner and vice chair,security equipment,new,49,male,Hong Kong,HKG,East Asia,self-made finance,3.7,Financial,Diversified financial,not inherited
Guenther Fielmann,408,2014,1972,Fielmann AG,founder,glasses,new,74,male,Germany,DEU,Europe,founder non-finance,3.7,0,Other,not inherited
Igor Kesaev,408,2014,1991,Mercury Company,founder,cigarettes,new,47,male,Russia,RUS,Europe,privatized and resources,3.7,Non-Traded Sectors,"Retail, Restaurant",not inherited
Isabel dos Santos,408,2014,1997,Unitel Interneational Holdings,founder,telecom/investments,new,40,female,Angola,AGO,Sub-Saharan Africa,privatized and resources,3.7,Financial,Diversified financial,not inherited
Jiang Bin,408,2014,2001,GoerTek,founder,electronic componants,new,47,male,China,CHN,East Asia,founder non-finance,3.7,New Sectors,Technology-Computer,not inherited
John Sall,408,2014,1976,SAS institute,founder,software,new,65,male,United States,USA,North America,founder non-finance,3.7,New Sectors,Technology-Computer,not inherited
Joseph Tsai,408,2014,1999,Alibaba,founder/vice chairman,e-commerce,new,50,male,Canada,CAN,North America,executive,3.7,New Sectors,Technology-Computer,not inherited
Karen Pritzker,408,2014,1957,Hyatt,relation,hotels,aquired,56,female,United States,USA,North America,inherited,3.7,Financial,Real Estate,father
Martin & Olivier Bouygues,408,2014,1952,Bouygues S.A.,relation,construction,new,Unknown,male,France,FRA,Europe,inherited,3.7,Non-Traded Sectors,Constrution,father
Michael Stoschek,408,2014,1919,Brose,relation,auto parts,new,66,male,Germany,DEU,Europe,inherited,3.7,Traded Sectors,Consumer,3rd generation
Murat Ulker,408,2014,1944,Yildiz Holding,relation,food products,new,54,male,Turkey,TUR,Middle East/North Africa,inherited,3.7,Traded Sectors,Consumer,father
Nathan Kirsh,408,2014,1990,Jetro Holdings,investor,retail,aquired,82,male,Swaziland,SWZ,Sub-Saharan Africa,executive,3.7,Non-Traded Sectors,"Retail, Restaurant",not inherited
Niels Peter Louis-Hansen,408,2014,1957,Coloplast,relation,medical devices,new,66,male,Denmark,DEN,Europe,inherited,3.7,New Sectors,Technology-Medical,father
Ronald Lauder,408,2014,1946,EstUnknownLauder,relation,makeup,new,70,male,United States,USA,North America,inherited,3.7,Traded Sectors,Consumer,father
Wu Yajun,408,2014,1995,Longfor Properties,founder,real estate,new,50,female,China,CHN,East Asia,privatized and resources,3.7,Financial,Real Estate,not inherited
Zhang Jindong,408,2014,1990,Suning Group,founder/president,"retail, home appliances",new,50,male,China,CHN,East Asia,founder non-finance,3.7,Non-Traded Sectors,"Retail, Restaurant",not inherited
Zhang Xin,408,2014,1995,SOHO China,founder,real estate,new,48,female,China,CHN,East Asia,self-made finance,3.7,Financial,Real Estate,not inherited
John Sall,409,1996,1976,SAS institute,founder,software,new,54,male,United States,USA,North America,founder non-finance,1,New Sectors,Technology-Computer,not inherited
James Jannard,410,1996,1975,"Oakley, Inc",founder,apparel and eyewear,new,46,male,United States,USA,North America,founder non-finance,1,Traded Sectors,Consumer,not inherited
Kenneth Tuchman,411,1996,1982,Teletech,founder,outsourcing,new,Unknown,male,United States,USA,North America,founder non-finance,1,Non-Traded Sectors,Media,not inherited
Michael Bloomberg,412,1996,1981,Bloomberg,founder, finance, new,53,male,United States,USA,North America,founder non-finance,1,Non-Traded Sectors,Media,not inherited
Laurance Rockefeller,413,1996,1870,Standard Oil,relation,oil,new,85,male,United States,USA,North America,inherited,1,Resource Related,Mining and metals,3rd generation
Randolph Hearst,414,1996,1887,Hearst Corporation,relation,media,new,Unknown,male,United States,USA,North America,inherited,1,Non-Traded Sectors,Media,3rd generation
Fred Lennon,415,1996,1947,Swagelok Company,founder,manufacturing,new,Unknown,male,United States,USA,North America,founder non-finance,1,Traded Sectors,Non-consumer industrial,not inherited
Winthrop Rockefeller,416,1996,1870,Standard Oil,relation,oil,new,47,male,United States,USA,North America,inherited,1,Resource Related,Energy,3rd generation
Dirk Ziff,417,1996,1928,Ziff Davis Inc,relation,publishing,new,31,male,United States,USA,North America,inherited,1,Financial,Hedge funds,3rd generation
Robert Ziff,418,1996,1928,Ziff Davis Inc,relation,publishing,new,21,male,United States,USA,North America,inherited,1,Financial,Hedge funds,3rd generation
Daniel Ziff,419,1996,1927,Ziff Davis Inc,relation,publishing,new,24,male,United States,USA,North America,inherited,1,Financial,Hedge funds,3rd generation
James Moran,420,1996,1968,JM Family Enterprises,founder,auto dealerships,new,77,male,United States,USA,North America,founder non-finance,1,Non-Traded Sectors,"Retail, Restaurant",not inherited
Jack Taylor,421,1996,1957,Enterprise,founder,rental cars,new,Unknown,male,United States,USA,North America,founder non-finance,1,Non-Traded Sectors,"Retail, Restaurant",not inherited
Anthony O'Reilly,421,2001,1904,Independent News & Media,chairman,media,new,64,male,Ireland,IRL,Europe,executive,1.2,Non-Traded Sectors,Media,not inherited
Archie Aldis Emmerson,421,2001,1949,Sierra Pacific Industries,founder,"lumber, real estate",new,71,male,United States,USA,North America,privatized and resources,1.2,Resource Related,Mining and metals,not inherited
Brian Roberts,421,2001,1969,Comcast,relation,media,new,Unknown,male,United States,USA,North America,inherited,1.2,Non-Traded Sectors,Media,father
Daniel Ziff,421,2001,1927,Ziff Davis Inc,relation,publishing,new,29,male,United States,USA,North America,inherited,1.2,Financial,Hedge funds,3rd generation
David Bromilow,421,2001,1924,ADIDAS,investor ,clothing ,new,Unknown,male,Thailand,THA,East Asia,executive,1.2,Non-Traded Sectors,Media,not inherited
Dirk Ziff,421,2001,1928,Ziff Davis Inc,relation,publishing,new,36,male,United States,USA,North America,inherited,1.2,Financial,Hedge funds,3rd generation
Edward Bass,421,2001,1919,Sid Richardson Gasoline Co,relation,oil,new,56,male,United States,USA,North America,inherited,1.2,Resource Related,Energy,father
Frederick Field,421,2001,1865,Marshall Field and Company,relation,retail,new,48,male,United States,USA,North America,inherited,1.2,Non-Traded Sectors,"Retail, Restaurant",5th generation or longer
Harold Lenfest,421,2001,1974,Lenfest Communications,founder,media,new,Unknown,male,United States,USA,North America,founder non-finance,1.2,Non-Traded Sectors,Media,not inherited
Herbert Siegel,421,2001,1977,BHC Communications,Chairman and Chief Executive Officer,television,new,73,male,United States,USA,North America,executive,1.2,Non-Traded Sectors,Media,not inherited
Jaime Augusto Zobel de Ayala,421,2001,1834,Ayala Corporation,relation,construcion,new,Unknown,male,Philippines,PHL,East Asia,inherited,1.2,Financial,Money Management,4th generation
John Fredriksen,421,2001,1985,Frontline Ltd.,founder,oil tankers,aquired,56,male,Norway,NOR,Europe,founder non-finance,1.2,Non-Traded Sectors,Media,not inherited
John Krehbiel Jr,421,2001,1938,Molex Incorporated,co-chairman,electronic interconnectors,new,Unknown,male,United States,USA,North America,executive,1.2,New Sectors,Technology-Computer,not inherited
John Marriott Jr,421,2001,1927,Marriot,relation,hotels,new,65,male,United States,USA,North America,inherited,1.2,Financial,Real Estate,father
Jon Stryker,421,2001,1941,Stryker Corporation,relation,medical supplies,new,42,male,United States,USA,North America,inherited,1.2,New Sectors,Technology-Medical,3rd generation
Joseph Jamail Jr,421,2001,1987,Unknown,lawer,lawsuits,Unknown,75,male,United States,USA,North America,executive,1.2,0,Other,not inherited
Kunio Busujima,421,2001,1950,Sankyo,founder,pachinko gaming machines,new,33,male,Japan,JPN,East Asia,founder non-finance,1.2,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lee Seng Wee,421,2001,1919,Oversea-Chinese Banking Corporation,chairman,banking,new,76,male,Singapore,SGP,East Asia,inherited,1.2,Financial,Money Management,father
Lucio Tan,421,2001,1982,Asia Brewery,founder,beverages,new,66,male,Philippines,PHL,East Asia,privatized and resources,1.2,Financial,Money Management,not inherited
Marc Rich,421,2001,1974,Glencore,founder,oil,new,66,male,Switzerland,CHE,Europe,self-made finance,1.2,Financial,Hedge funds,not inherited
Marguerite Harbert,421,2001,1993,Harbart Corporation,relation,construction,new,77,female,United States,USA,North America,inherited,1.2,0,Other,spouse/widow
Mortimer Zuckerman,421,2001,1970,Boston Properties,founder,real estate,new,63,male,United States,USA,North America,self-made finance,1.2,Financial,Real Estate,not inherited
Peter Nicholas,421,2001,1979,Boston Scientific,founder,medical devices,new,60,male,United States,USA,North America,founder non-finance,1.2,New Sectors,Technology-Medical,not inherited
Renato Soru,421,2001,1988,Tiscali,founder,internet service company,new,Unknown,male,Italy,ITA,Europe,founder non-finance,1.2,New Sectors,Technology-Computer,not inherited
Richard Scaife,421,2001,1869,Mellon,relation,"banking, oil, aluminum",new,Unknown,male,United States,USA,North America,inherited,1.2,Financial,Money Management,3rd generation
Robert Ziff,421,2001,1928,Ziff Davis Inc,relation,publishing,new,31,male,United States,USA,North America,inherited,1.2,Financial,Hedge funds,3rd generation
Ron and Fred Mannix,421,2001,1914,Mancal Group,relation,oil,new,Unknown,male,Canada,CAN,North America,inherited,1.2,Non-Traded Sectors,Constrution,father
