Name,Rank,Year,Company Founding Year,Company Name,Company Relationship,Company Sector,Company Type,Age,Gender,Citizenship,Country of Residence,Region,Type Of Wealth,Net Worth In Billions,Wealth Category,Wealth Industry,Wealth Inherited
Gordon Getty,198,2001,1904,Getty ,relation,oil,new,60,male,United States,USA,North America,inherited,2.3,Resource Related,Energy,father
Henry Samueli,198,2001,1991,Broadcom Corporation,founder,semiconductors,new,46,male,United States,USA,North America,founder non-finance,2.3,New Sectors,Technology-Computer,not inherited
Martin Bouygues,198,2001,1952,Bouygues S.A.,relation,construction,new,49,male,France,FRA,Europe,inherited,2.3,Non-Traded Sectors,Media,father
Ralph Lauren,198,2001,1967,Ralph Lauren,founder,clothing,new,62,male,United States,USA,North America,founder non-finance,2.3,Traded Sectors,Consumer,not inherited
Ray Hunt,198,2001,1934,Hunt Oil. Co,relation,oil,new,58,male,United States,USA,North America,inherited,2.3,Resource Related,Energy,father
Richard Schulze,198,2001,1966,Best Buy,founder,retail,new,60,male,United States,USA,North America,founder non-finance,2.3,Non-Traded Sectors,"Retail, Restaurant",not inherited
Robert Bosch Jr,198,2001,1886,Robert Bosch GmbH,relation,auto engines,new,73,male,Germany,DEU,Europe,inherited,2.3,Traded Sectors,Consumer,father
Susan Thompson Buffett,198,2001,1962,Berkshire Hathaway,relation, Finance,new,68,female,United States,USA,North America,inherited,2.3,Traded Sectors,Consumer,spouse/widow
Terry Gou,198,2001,1974,Foxconn,founder,technology,new,Unknown,male,Taiwan,Taiwan,East Asia,founder non-finance,2.3,New Sectors,Technology-Computer,not inherited
William Davidson,198,2001,1932,Guardian Industries,relation,glass,new,78,male,United States,USA,North America,executive,2.3,Traded Sectors,Non-consumer industrial,not inherited
Emilio Botin,199,1996,1857,Grupo Santander,relation,banking,new,61,male,Spain,ESP,Europe,inherited,2,Financial,Money Management,father
Thomas Schmidheiny,200,1996,1912,Holcim,relation,cement,new,50,male,Switzerland,CHE,Europe,inherited,2,Non-Traded Sectors,Constrution,4th generation
George Lucas,201,1996,1971,Lucasfilm,founder,Star Wars,new,51,male,United States,USA,North America,founder non-finance,2,Non-Traded Sectors,Media,not inherited
Charles Koch,202,1996,1940,Koch industries,relation,  Oil refining,new,60,male,United States,USA,North America,inherited,2,Resource Related,Energy,father
Chung Mong-Koo,202,2014,1967,Hyundai,relation,cars,new,75,male,South Korea,KOR,East Asia,inherited,6.8,Traded Sectors,Consumer,father
Dustin Moskovitz,202,2014,2004,Facebook,founder,internet,new,29,male,United States,USA,North America,founder non-finance,6.8,New Sectors,Technology-Computer,not inherited
Jan Koum,202,2014,2009,WhatsApp,founder,mobile app,new,38,male,United States,USA,North America,founder non-finance,6.8,New Sectors,Technology-Computer,not inherited
David Koch,203,1996,1940,Koch industries,relation, Oil refining,new,55,male,United States,USA,North America,inherited,2,Resource Related,Energy,father
Lester Crown,204,1996,1919,General Dynamics,relation,aerospace and defense,new,70,male,United States,USA,North America,inherited,2,Financial,Money Management,father
Donald Bren,205,1996,1864,Irvine Company,owner,real estate,aquired,63,male,United States,USA,North America,self-made finance,2,Financial,Real Estate,not inherited
Nassef Sawiris,205,2014,1950,Orascom,relation,construction,new,53,male,Egypt,FIN,Europe,inherited,6.7,Non-Traded Sectors,Constrution,father
Nicky Oppenheimer,205,2014,1888,De Beers,relation,diamonds,new ,68,male,South Africa,ZAF,Sub-Saharan Africa,inherited,6.7,Resource Related,Mining and metals,3rd generation
Martha Ingram,206,1996,1946,Ingram Industries,relation,transportation,new,60,female,United States,USA,North America,inherited,2,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
James Goodnight,207,1996,1976,SAS institute,founder,software,new,53,male,United States,USA,North America,founder non-finance,2,New Sectors,Technology-Computer,not inherited
Takemitsu Takizaki,207,2014,1974,Keyence,founder,technology,new,68,male,Japan,JPN,East Asia,founder non-finance,6.6,New Sectors,Technology-Computer,not inherited
Ray Hunt,208,1996,1934,Hunt Oil. Co,relation,oil,new,53,male,United States,USA,North America,inherited,2,Resource Related,Energy,father
James Packer,208,2014,1936,Consolidated Press Holdings Limited,relation,media,aquired,46,male,Australia,AUS,North America,inherited,6.5,Financial,Real Estate,3rd generation
Leonid Fedun,208,2014,1990,Lukoil,Vice President,oil,new,57,male,Russia,RUS,Europe,privatized and resources,6.5,Resource Related,Energy,not inherited
Micky Arison,208,2014,1972,Carnival Corporation,relation,cruises,new,64,male,United States,USA,North America,inherited,6.5,Non-Traded Sectors,"Retail, Restaurant",father
Oleg Deripaska,208,2014,1994,SibAl,founder,aluminum,new,46,male,Russia,RUS,Europe,privatized and resources,6.5,Resource Related,Mining and metals,not inherited
Laurence Tisch,209,1996,1946,Loews Corporation,founder,retail,new,Unknown,male,United States,USA,North America,founder non-finance,2,Traded Sectors,Consumer,not inherited
Barbara Piasecka Johnson,209,2001,1886,Johnson & Johnson,relation,medical supplies,new,64,female,United States,USA,North America,inherited,2.2,New Sectors,Technology-Medical,spouse/widow
Bernard Sherman,209,2001,1959,Empire Laboratories,relation,pharmaceuticals,new,59,male,Canada,CAN,North America,inherited,2.2,New Sectors,Technology-Medical,father
David Duffield,209,2001,1987,PeopleSoft,founder,software,new,60,male,United States,USA,North America,founder non-finance,2.2,New Sectors,Technology-Computer,not inherited
Frank Lowy,209,2001,1960,Westfield Group,founder,shopping centers,new,70,male,Australia,AUS,North America,self-made finance,2.2,Financial,Real Estate,not inherited
H Wayne Huizenga,209,2001,1968,Waste Management,founder,waste management,new,63,male,United States,USA,North America,self-made finance,2.2,Financial,0,not inherited
James Kim,209,2001,1969,Amkor,founder,semiconductors,new,65,male,United States,USA,North America,founder non-finance,2.2,New Sectors,Technology-Computer,not inherited
Jean-Claude Decaux,209,2001,1964,JCDecaux,founder,advertising,new,63,male,France,FRA,Europe,founder non-finance,2.2,Non-Traded Sectors,Media,not inherited
Maersk McKinney Moller,209,2001,1905,Maersk Group,relation,shipping,new,87,male,Denmark,DNK,Europe,inherited,2.2,Financial,Diversified financial,father
Martha Ingram,209,2001,1946,Ingram Industries,relation,transportation,new,65,female,United States,USA,North America,inherited,2.2,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Nancy Walton Laurie,209,2001,1962,Walmart,relation, retail, new,49,female,United States,USA,North America,inherited,2.2,Non-Traded Sectors,"Retail, Restaurant",father
Shiv Nadar,209,2001,1976,HCL,founder,technology,new,55,male,India,IND,South Asia,founder non-finance,2.2,New Sectors,Technology-Computer,not inherited
Tadahiro Yoshida,209,2001,1934,YKK,relation,zippers,new,54,male,Japan,JPN,East Asia,inherited,2.2,Traded Sectors,Consumer,father
Thomas Siebel,209,2001,1993,Siebel Systems,founder,software,new,48,male,United States,USA,North America,founder non-finance,2.2,New Sectors,Technology-Computer,not inherited
Preston Tisch,210,1996,1946,Loews Corporation,founder,retail,new,69,male,United States,USA,North America,founder non-finance,2,Traded Sectors,Consumer,not inherited
Shoji Uehara,211,1996,1912,Taisho Pharmaceutical,relation,pharmaceuticals,new,Unknown,male,Japan,JPN,East Asia,inherited,1.9,New Sectors,Technology-Medical,father
Chaijudh Karnasuta,212,1996,1958,Italian-Thai development,founder,construction,new,Unknown,male,Thailand,THA,East Asia,privatized and resources,1.9,Non-Traded Sectors,Constrution,not inherited
Eva Gonda Rivera,212,2014,1890,FEMSA,relation,beverages,new,Unknown,female,Mexico,MEX,Latin America,inherited,6.4,Traded Sectors,Consumer,spouse/widow
Pansy Ho,212,2014,1962,Sociedade de Turismo e DiversUnknownes de Macau,relation,gaming,new,51,female,Hong Kong,HKG,East Asia,inherited,6.4,Financial,Real Estate,father
Quek Leng Chan,212,2014,1963,Hong Leong Financial Group,founder,financial services,new,70,male,Malaysia,MYS,East Asia,self-made finance,6.4,Financial,Money Management,not inherited
Sid Bass,213,1996,1919,Sid Richardson Gasoline Co,relation,oil,new,53,male,United States,USA,North America,inherited,1.9,Resource Related,Energy,father
Mary Alice Dorrance Malone,214,1996,1869,Campbell Soup,relation,soup,aquired,46,female,United States,USA,North America,inherited,1.9,Traded Sectors,Consumer,3rd generation
David Geffen,215,1996,1970,Asylum Records/Geffen Records/Dreamworks,founder,entertainment,new,53,male,United States,USA,North America,founder non-finance,1.9,Non-Traded Sectors,Media,not inherited
Dannine Avara,215,2014,1968,Enterprise Products,relation,natural gas,new,50,female,United States,USA,North America,inherited,6.3,Traded Sectors,Non-consumer industrial,father
"Herbert Kohler, Jr.",215,2014,1873,Kohler Company,relation,manufacturing,new,75,male,United States,USA,North America,inherited,6.3,Traded Sectors,Non-consumer industrial,3rd generation
