Budget,Company,Country,Director,Genre,Gross,Name,Rating,Released,Runtime,Score,Star,Votes,Writer,Year
28000000,PalmStar Media,USA,Nima Nourizadeh,Action,14434604,American Ultra,R,August,100,6.1,Jesse Eisenberg,67391,Max Landis,2015
11000000,Origin Pictures,UK,Simon Curtis,Biography,33305037,Woman in Gold,PG-13,April,109,7.3,Helen Mirren,42052,Alexi Kaye Campbell,2015
0,Rhombus Media,Canada,Patricia Rozema,Drama,6438,Into the Forest,R,July,101,5.9,Ellen Page,11816,Patricia Rozema,2015
8000000,Harmonius Claptrap,USA,Duke Johnson,Animation,3442820,Anomalisa,R,February,90,7.2,David Thewlis,47499,Charlie Kaufman,2015
12000000,Insurge Pictures,USA,Dean Israelite,Sci-Fi,22331028,Project Almanac,PG-13,January,106,6.4,Amy Landecker,65169,Jason Pagan,2015
11000000,Gravier Productions,USA,Woody Allen,Comedy,4027764,Irrational Man,R,August,95,6.6,Joaquin Phoenix,42507,Woody Allen,2015
40000000,StudioCanal,USA,Pierre Morel,Action,10640645,The Gunman,R,March,115,5.8,Sean Penn,32345,Jean-Patrick Manchette,2015
4000000,Universal Pictures,USA,Rob Cohen,Mystery,35385560,The Boy Next Door,R,January,91,4.7,Jennifer Lopez,31057,Barbara Curry,2015
0,Fantefilm,Norway,Roar Uthaug,Action,176637,La última ola,R,July,105,6.7,Kristoffer Joner,20509,John Kåre Raake,2015
60000000,OddLot Entertainment,UK,David Koepp,Action,7605668,Mortdecai,R,January,107,5.5,Johnny Depp,54191,Eric Aronson,2015
15000000,Bleecker Street Films,USA,Jay Roach,Biography,7857741,Trumbo,R,November,124,7.5,Bryan Cranston,60593,John McNamara,2015
10000000,Entertainment One,USA,Ciarán Foy,Horror,27736779,Sinister 2,R,August,97,5.3,James Ransone,33723,Scott Derrickson,2015
81200000,Onyx Films,France,Mark Osborne,Animation,1339152,El principito,PG,August,108,7.8,Jeff Bridges,41751,Irena Brignull,2015
3500000,Duplass Brothers Productions,USA,Bryan Buckley,Comedy,615654,The Bronze,R,March,100,6,Melissa Rauch,7520,Melissa Rauch,2015
35000000,Fox 2000 Pictures,USA,Gil Kenan,Horror,47425125,Poltergeist,PG-13,May,93,4.9,Sam Rockwell,47376,David Lindsay-Abaire,2015
8000000,Route One Entertainment,USA,Ken Kwapis,Adventure,29467855,A Walk in the Woods,R,September,104,6.3,Robert Redford,18661,Michael Arndt,2015
26000000,Alcon Entertainment,Chile,Patricia Riggen,Biography,12188642,Los 33,PG-13,November,127,6.9,Antonio Banderas,27925,Mikko Alanne,2015
74000000,Paramount Animation,USA,Paul Tibbitt,Animation,162994032,The SpongeBob Movie: Sponge Out of Water,PG,February,92,6,Tom Kenny,38659,Glenn Berger,2015
25000000,Bloom,USA,Gus Van Sant,Drama,20083,The Sea of Trees,PG-13,August,110,5.9,Matthew McConaughey,8519,Chris Sparling,2015
100000,Duplass Brothers Productions,USA,Sean Baker,Comedy,701837,Tangerine,R,July,88,7,Kitana Kiki Rodriguez,16597,Sean Baker,2015
70000000,Forward Pass,USA,Michael Mann,Crime,7097125,Blackhat,R,January,133,5.4,Chris Hemsworth,44249,Morgan Davis Foehl,2015
0,New Real Films,Canada,Robert Budreau,Biography,667476,Born to Be Blue,R,March,97,6.9,Ethan Hawke,5113,Robert Budreau,2015
90000000,Fox 2000 Pictures,USA,Walt Becker,Animation,85886987,Alvin and the Chipmunks: The Road Chip,PG,December,100,5.1,Jason Lee,12069,Ross Bagdasarian,2015
8000000,Enderby Entertainment,USA,Daniel Alfredson,Thriller,16458,Blackway,R,June,90,5.2,Anthony Hopkins,4931,Castle Freeman Jr.,2015
0,Duplass Brothers Productions,USA,Patrick Brice,Comedy,1100000,The Overnight,R,June,79,6.1,Adam Scott,12642,Patrick Brice,2015
1000000,Red Crown Productions,USA,Michael Showalter,Comedy,14443077,"Hello, My Name Is Doris",R,April,90,6.7,Sally Field,14007,Laura Terruso,2015
35000000,Metro-Goldwyn-Mayer (MGM),USA,Anne Fletcher,Action,34507079,Hot Pursuit,PG-13,May,87,5.1,Reese Witherspoon,40431,David Feeney,2015
28000000,Participant Media,USA,David Gordon Green,Comedy,6998324,Our Brand Is Crisis,R,October,107,6.1,Sandra Bullock,16204,Peter Straughan,2015
8500000,Lionsgate,USA,Henry Hobson,Drama,187112,Maggie,PG-13,May,95,5.6,Arnold Schwarzenegger,35167,John Scott 3,2015
3000000,FaithStep Films,USA,Alex Kendrick,Drama,67790117,War Room,PG,August,120,6.4,Priscilla C. Shirer,10268,Alex Kendrick,2015
9600000,Sony Pictures Classics,Australia,James Vanderbilt,Biography,2541554,Conspiración y poder,R,October,125,6.8,Cate Blanchett,14615,James Vanderbilt,2015
