error_manifest_object_key,undelivered_batch_object_key,undelivered_batch_position_in_manifest,records_in_batch,records_modified,records_skipped,redelivery_batch_object_key,redelivery_manifest_object_key,redelivery_date_time,redelivery_status,redelivery_status_reason
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-18-41-24e47852-8359-4970-ade8-793940fdadca,2024/05/14/17/analysis-events-4-2024-05-14-17-18-12-606a5b5a-3fe9-4e2b-a446-47d468874c50,0,1758,193,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-18-12-606a5b5a-3fe9-4e2b-a446-47d468874c50,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-18-12-606a5b5a-3fe9-4e2b-a446-47d468874c50,2024-09-30T23:38:58+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-18-52-754f2778-3c2c-46ff-8a27-33b335c9e87c,2024/05/14/17/analysis-events-4-2024-05-14-17-18-15-c1eef7d9-d2bb-4a8f-98c2-6c32d3527bb0,0,1764,194,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-18-15-c1eef7d9-d2bb-4a8f-98c2-6c32d3527bb0,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-18-15-c1eef7d9-d2bb-4a8f-98c2-6c32d3527bb0,2024-09-30T23:39:04+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-19-13-f3df0eb3-bbd5-44f5-9c89-a20e5f25eb74,2024/05/14/17/analysis-events-4-2024-05-14-17-18-43-49ac7bdc-10c7-4087-9ff1-753f89406fbf,0,1789,212,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-18-43-49ac7bdc-10c7-4087-9ff1-753f89406fbf,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-18-43-49ac7bdc-10c7-4087-9ff1-753f89406fbf,2024-09-30T23:39:09+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-19-38-e47b7e80-44a8-4501-bb26-5a647e1961a6,2024/05/14/17/analysis-events-4-2024-05-14-17-19-11-48e2453d-f627-41c6-9660-b1ccd70d4309,0,1761,215,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-19-11-48e2453d-f627-41c6-9660-b1ccd70d4309,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-19-11-48e2453d-f627-41c6-9660-b1ccd70d4309,2024-09-30T23:39:14+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-20-06-6dc75c2b-aef4-44fb-a7c0-35cb98ad66b9,2024/05/14/17/analysis-events-4-2024-05-14-17-19-37-e66fc130-b310-406c-bf51-d1581481c758,0,1755,208,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-19-37-e66fc130-b310-406c-bf51-d1581481c758,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-19-37-e66fc130-b310-406c-bf51-d1581481c758,2024-09-30T23:39:20+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-20-34-a4521c03-be2f-4b01-918f-6752130d3b6e,2024/05/14/17/analysis-events-4-2024-05-14-17-20-04-3ce9ecd5-38ff-469e-b9f9-afc74a2f5cbd,0,1763,211,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-20-04-3ce9ecd5-38ff-469e-b9f9-afc74a2f5cbd,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-20-04-3ce9ecd5-38ff-469e-b9f9-afc74a2f5cbd,2024-09-30T23:39:24+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-20-50-5564d3be-9398-4687-bdb6-0097f9e788e1,2024/05/14/17/analysis-events-4-2024-05-14-17-20-06-e302da84-3591-4f08-a58d-c259dbe086b3,0,1752,189,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-20-06-e302da84-3591-4f08-a58d-c259dbe086b3,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-20-06-e302da84-3591-4f08-a58d-c259dbe086b3,2024-09-30T23:39:32+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-21-35-aabdd3b3-9f5c-49cb-bd4c-029bf4244eb9,2024/05/14/17/analysis-events-4-2024-05-14-17-21-03-edb44bf7-1100-49c0-9a74-7e897fe2f305,0,1764,204,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-21-03-edb44bf7-1100-49c0-9a74-7e897fe2f305,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-21-03-edb44bf7-1100-49c0-9a74-7e897fe2f305,2024-09-30T23:39:38+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-22-00-ed54bed2-bc26-42a6-9428-e92e83097e08,2024/05/14/17/analysis-events-4-2024-05-14-17-21-31-314649fd-116a-4bb9-96a7-0bf2f2eef747,0,1773,209,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-21-31-314649fd-116a-4bb9-96a7-0bf2f2eef747,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-21-31-314649fd-116a-4bb9-96a7-0bf2f2eef747,2024-09-30T23:39:42+00:00,true,
errors/manifests/2024/05/14/17/analysis-events-2024-05-14-17-22-15-f91a8d43-3fe5-40f1-bc3f-57b68e09fca2,2024/05/14/17/analysis-events-4-2024-05-14-17-21-32-321c85ec-b765-42e2-8cb5-4515fe5dc0c9,0,1763,188,0,redeliveries/2024/05/14/17/analysis-events-4-2024-05-14-17-21-32-321c85ec-b765-42e2-8cb5-4515fe5dc0c9,redeliveries/manifests/2024/05/14/17/analysis-events-4-2024-05-14-17-21-32-321c85ec-b765-42e2-8cb5-4515fe5dc0c9,2024-09-30T23:39:46+00:00,true,
