School Year,SCHOOL_NAME,DIST_ASSIGNED,SCHOOL_ASSIGNED,NCES_SCHOOL_ID,COURSEID,COURSE_NAME
2017-2018,Bergen County Academies,0290,020,340147000250,10157,AP COMPUTER SCIENCE A
2017-2018,Bergen County Technical High School - Teterboro,0290,070,340147000262,10152,COMPUTER PROGRAMMING
2017-2018,Bergen County Technical High School - Teterboro,0290,070,340147000262,10155,JAVA PROGRAMMING
2017-2018,Bergen County Technical High School - Teterboro,0290,070,340147000262,10157,AP COMPUTER SCIENCE A
2017-2018,Bergenfield High School,0300,020,340150000268,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Bergenfield High School,0300,020,340150000268,10157,AP COMPUTER SCIENCE A
2017-2018,Bernards High School,4815,020,340000900176,10157,AP COMPUTER SCIENCE A
2017-2018,BIOTECHNOLOGY HIGH SCHOOL,3260,028,341750006121,10157,AP COMPUTER SCIENCE A
2017-2018,BLOOMFIELD HIGH SCHOOL,0410,020,340183001980,10152,COMPUTER PROGRAMMING
2017-2018,BLOOMFIELD HIGH SCHOOL,0410,020,340183001980,10157,AP COMPUTER SCIENCE A
2017-2018,Boonton High School,0450,020,340195004154,10152,COMPUTER PROGRAMMING
2017-2018,Boonton High School,0450,020,340195004154,10157,AP COMPUTER SCIENCE A
2017-2018,Bordentown Regional High School,0475,050,340203000960,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Bordentown Regional High School,0475,050,340203000960,10152,COMPUTER PROGRAMMING
2017-2018,Brick Township High School,0530,020,340222004582,10155,JAVA PROGRAMMING
2017-2018,Brick Township High School,0530,020,340222004582,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Brick Township High School,0530,020,340222004582,10157,AP COMPUTER SCIENCE A
2017-2018,Brick Township Memorial High School,0530,025,340222005896,10155,JAVA PROGRAMMING
2017-2018,Brick Township Memorial High School,0530,025,340222005896,10157,AP COMPUTER SCIENCE A
2017-2018,BRIDGEWATER-RARITAN HIGH SCHOOL,0555,005,340228000173,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,BRIDGEWATER-RARITAN HIGH SCHOOL,0555,005,340228000173,10152,COMPUTER PROGRAMMING
2017-2018,BRIDGEWATER-RARITAN HIGH SCHOOL,0555,005,340228000173,10157,AP COMPUTER SCIENCE A
2017-2018,Burlington City High School,0600,020,340243000966,10152,COMPUTER PROGRAMMING
2017-2018,Burlington Township High School,0620,010,340246001004,10155,JAVA PROGRAMMING
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10019,AP COMPUTER SCIENCE PRINCIPLES
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10152,COMPUTER PROGRAMMING
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10155,JAVA PROGRAMMING
2017-2018,Camden's Promise Charter School,6107,998,340078503390,10156,COMPUTER PROGRAMMING—OTHER LANGUAGE
2017-2018,Carteret High School,0750,030,340282003268,10152,COMPUTER PROGRAMMING
2017-2018,Central Jersey College Prep Charter School,6018,900,340009000829,10155,JAVA PROGRAMMING
2017-2018,Chatham High School,0785,010,340000406014,10152,COMPUTER PROGRAMMING
2017-2018,Chatham High School,0785,010,340000406014,10157,AP COMPUTER SCIENCE A
2017-2018,Cherokee High School,2610,040,340849001092,10153,VISUAL BASIC (VB) PROGRAMMING
2017-2018,Cherokee High School,2610,040,340849001092,10155,JAVA PROGRAMMING
2017-2018,Cherry Hill High School East,0800,030,340300001418,10152,COMPUTER PROGRAMMING
2017-2018,Cherry Hill High School East,0800,030,340300001418,10157,AP COMPUTER SCIENCE A
2017-2018,Cherry Hill High School West,0800,040,340300001420,10157,AP COMPUTER SCIENCE A
2017-2018,Churchill Jr High School,1170,055,340411003296,10152,COMPUTER PROGRAMMING
2017-2018,Cicely L. Tyson Community Middle/High School,1210,150,340423002064,10152,COMPUTER PROGRAMMING
2017-2018,CINNAMINSON HIGH SCHOOL,0840,030,340312001020,10155,JAVA PROGRAMMING
