Key,Name,Concepts,YoutubeCode,Download,Locale
csp_internetsimulator_2,,,cIk2R0QuXkI,http://videos.code.org/2015/csp/internetsimulator_2.mp4,en-US
csp_internetsimulator_3,,,x_YTEBRnR1U,http://videos.code.org/2015/csp/internetsimulator_3.mp4,en-US
alg_1_intro,,,SlLr2rj4eBo,http://videos.code.org/2015/algebra/alg-1-intro.mp4,en-US
alg_2_eval_block,,,UU58FyCUin4,http://videos.code.org/2015/algebra/alg-2-eval-block.mp4,en-US
alg_3_pemdas,,,ycgedpCoIr4,http://videos.code.org/2015/algebra/alg-3-pemdas.mp4,en-US
alg_4_data_types,,,GD5ZrNcGeD0,http://videos.code.org/2015/algebra/alg-4-data-types.mp4,en-US
alg_5_contracts,,,X8L259cdfns,http://videos.code.org/2015/algebra/alg-5-contracts.mp4,en-US
alg_6_variables,,,oyxs4zKEdvU,http://videos.code.org/2015/algebra/alg-6-variables.mp4,en-US
alg_7_function,,,wBh7dOcw02M,http://videos.code.org/2015/algebra/alg-7-function.mp4,en-US
alg_8_design_recipe,,,0iybPiGep4w,http://videos.code.org/2015/algebra/alg-8-design-recipe.mp4,en-US
alg_9_booleans,,,jIAaneZSSkY,http://videos.code.org/2015/algebra/alg-9-booleans.mp4,en-US
alg_10_conditionals,,,zloUEeHfvlI,http://videos.code.org/2015/algebra/alg-10-conditionals.mp4,en-US
alg_11_coordinate_plane,,,VlJq9mAXx1c,http://videos.code.org/2015/algebra/alg-11-coordinate-plane.mp4,en-US
alg_12_biggame_variables,,,gfzRVChNDcI,http://videos.code.org/2015/algebra/alg-12-biggame-variables.mp4,en-US
alg_13_biggame_animation,,,fCLLlwcluy4,http://videos.code.org/2015/algebra/alg-13-biggame-animation.mp4,en-US
alg_14_biggame_booleans,,,ksxOA3V9npA,http://videos.code.org/2015/algebra/alg-14-biggame-booleans.mp4,en-US
alg_15_biggame_update_player,,,Ll_uL6Lj2QI,http://videos.code.org/2015/algebra/alg-15-biggame-update-player.mp4,en-US
alg_16_biggame_collision_detection,,,DLoJmKZg9gM,http://videos.code.org/2015/algebra/alg-16-biggame-collision-detection.mp4,en-US
alg_17_sambat_compound_booleans,,,rvM4dCPqz6U,http://videos.code.org/2015/algebra/alg-17-sambat-compound-booleans.mp4,en-US
starwars_intro,,,vNjiHkQQl6A,http://videos.code.org/2015/starwars/starwars_intro.mp4,en-US
starwars_typing,,,gtf47Ahz5E0,http://videos.code.org/2015/starwars/starwars_typing.mp4,en-US
starwars_events,,,olgJSxyeUwQ,http://videos.code.org/2015/starwars/starwars_events.mp4,en-US
starwars_congrats,,,htDHOInxcLI,http://videos.code.org/2015/starwars/starwars_congrats.mp4,en-US
starwars_blocks_intro,,,v7jSy_yE9U0,http://videos.code.org/2015/starwars/starwars_blocks_intro.mp4,en-US
starwars_blocks_events,,,O_O1wslVa7c,http://videos.code.org/2015/starwars/starwars_blocks_events.mp4,en-US
starwars_blocks_congrats,,,SdUx9wHhWL8,http://videos.code.org/2015/starwars/starwars_blocks_congrats.mp4,en-US
mc_intro,,,55jADN4Y7Pg,http://videos.code.org/2015/mc/mc_intro.mp4,en-US
mc_repeat,,,_X3FPKyVV1g,http://videos.code.org/2015/mc/mc_repeat.mp4,en-US
mc_if_statements,,,WXIbLnIX5Rw,http://videos.code.org/2015/mc/mc_if_statements.mp4,en-US
mc_congrats_share,,,RGQUVwcwKns,http://videos.code.org/2015/mc/mc_share.mp4,en-US
mc_congrats_no_share,,,u2jV-9RCAYo,http://videos.code.org/2015/mc/mc_no_share.mp4,en-US
gumball_intro,,,0QQVL8oKEaA,http://videos.code.org/gumball/gumball-intro.mp4,en-US
gumball_events,,,6_H84scLz5g,http://videos.code.org/gumball/gumball-events.mp4,en-US
gumball_repeat,,,Dm8AL84e11w,http://videos.code.org/gumball/gumball-repeat.mp4,en-US
iceage_intro,,,ap_5Ft3KocU,http://videos.code.org/iceage/iceage-intro.mp4,en-US
iceage_events,,,7o6ABVPc2Wg,http://videos.code.org/iceage/iceage-events.mp4,en-US
iceage_repeat,,,TMyUA9Julzg,http://videos.code.org/iceage/iceage-repeat.mp4,en-US
mc_2016_intro,,,Fzwa6Pm03Zk,http://videos.code.org/minecraft/2016-introduction.mp4,en-US
mc_2016_loops,,,sLYfDCl9JWA,http://videos.code.org/minecraft/2016-loops.mp4,en-US
mc_2016_events,,,4eL3v0-FMkA,http://videos.code.org/minecraft/2016-events.mp4,en-US
mc_2016_spawn,,,2N02R1LUyKI,http://videos.code.org/minecraft/2016-spawning.mp4,en-US
mc_2016_congrats,,,xn2dCH1uAVI,http://videos.code.org/minecraft/2016-congratulations.mp4,en-US
applab_hoc_welcome,,,JbSYmid22ag,https://videos.code.org/applab-hoc/applab-hoc-welcome.mp4,en-US
applab_hoc_setproperty,,,w5Bj6VsvbuQ,https://videos.code.org/applab-hoc/applab-hoc-setproperty.mp4,en-US
applab_hoc_onevent,,,T9encAJTgVc,https://videos.code.org/applab-hoc/applab-hoc-onevent.mp4,en-US
applab_hoc_designmode,,,HayqnBNJbW8,https://videos.code.org/applab-hoc/applab-hoc-designmode.mp4,en-US
applab_hoc_share,,,-PWUnmlSgJE,https://videos.code.org/applab-hoc/applab-hoc-share.mp4,en-US
mc_2017_agent_intro,,,vD0cVvXEKdo,https://videos.code.org/minecraft/2017-welcome.mp4,en-US
mc_2017_repeat,,,uDouqRBBwYM,https://videos.code.org/minecraft/2017-loops.mp4,en-US
mc_2017_functions,,,iBmzp4a_2N4,https://videos.code.org/minecraft/2017-functions.mp4,en-US
mc_2017_puzzle_1,,,XCvAHEdZpr4,https://videos.code.org/minecraft/2017-puzzle-1.mp4,en-US
mc_2017_puzzle_3,,,LK33dS7Xuds,https://videos.code.org/minecraft/2017-puzzle-3.mp4,en-US
mc_2017_puzzle_8,,,c8IgZTYu-uY,https://videos.code.org/minecraft/2017-puzzle-8.mp4,en-US
mc_2017_puzzle_12,,,VWkAo6qd42c,https://videos.code.org/minecraft/2017-puzzle-12.mp4,en-US
mc_2017_congratulations,,,asOQzfBC0Yk,https://videos.code.org/minecraft/2017-congratulations.mp4,en-US
hint_videos_d_11_3_first,,,w3DttZHhS6s,https://videos.code.org/hint-videos/D.11.3_first.mp4,en-US
